DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10001,1,99,Outros bens e direitos,01 CASA EM ALVENARIA,"50000,00",JOSÉ LUIZ NOGUEIRA DE SOUSA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10010,1,99,Outros bens e direitos,"CARRO DE MARCA FIAT/PALIO, ANO 2001","12000,00",MARIA DO SOCORRO DA SILVA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10010,2,99,Outros bens e direitos,UMA CASA EM ALVENARIA NO BAIRRO DO ZERÃO,"45000,00",MARIA DO SOCORRO DA SILVA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10036,1,99,Outros bens e direitos,CARRO PICKUP STRADA,"25000,00",ANTONIO JOSE NUNES DOS SANTOS
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10036,2,99,Outros bens e direitos,CASA MISTA,"30000,00",ANTONIO JOSE NUNES DOS SANTOS
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10036,3,99,Outros bens e direitos,CASA PROPRIA EM ALVANARIA,"135000,00",ANTONIO JOSE NUNES DOS SANTOS
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10038,1,99,Outros bens e direitos,CASA PRÓPRIA,"10000,00",NAUTO DA CONCEIÇÃO BENJÓ
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10171,1,99,Outros bens e direitos,"UM AUTOMOVEL TIPO CORSA, ANO 97/98","15000,00",WALDENOR DAS NEVES ROSA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10171,2,99,Outros bens e direitos,UM TERRENO,"30000,00",WALDENOR DAS NEVES ROSA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10171,3,99,Outros bens e direitos,"UMA CASA EM ALVENARIA LOCALIZADA A AVENIDA DESIDERIO ANTONIO COELHO, 1319 - BURITIZAL - MACAPÁ/AP","200000,00",WALDENOR DAS NEVES ROSA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10171,4,99,Outros bens e direitos,"UMA CASA NAAVENIDA ACELINO DE LEÃO , 1384 BURITIZAL/MACAPÁ","70000,00",WALDENOR DAS NEVES ROSA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10175,1,99,Outros bens e direitos,Nenhum bem a declarar,"0,00",ITAMIR ALVES LORDEIRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10188,1,99,Outros bens e direitos,Nenhum bem a declarar,"0,00",MANOEL ORLANILDO SILVA GARCIA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10195,1,99,Outros bens e direitos,Nenhum bem a declarar,"0,00",IVANILDO DE ARAUJO BRITO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AP,AP,AMAPÁ,10008,1,99,Outros bens e direitos,"01 CASA RESIDENCIAL, CONSTRUIDO EM ALVENARIA, LOCALIZADO NA TRAVESSA JOSÉ DEOLINDO, 05, BAIRRO NOVA BRASILIA, EM SANTANA.","100000,00",IVANCI MAGNO DE OLIVEIRA
