DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10096,1,99,Outros bens e direitos,"01 - APTO. SITO AV. ANTARES, ED. ANDRESSA, RECANTO DOS VINHAIS - SÃO LUÍS - MA","40000,00",JULIAO AMIN CASTRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10096,2,99,Outros bens e direitos,"01 - CASA RESID. SITO AV. UNIV. QUADRA 06, CASA 14, COHAFUMA - SÃO LUÍS - MA.","50000,00",JULIAO AMIN CASTRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10098,1,99,Outros bens e direitos,"01 APT. LOCAL, SITO RUA OZIRES, ED. VILLA BORGUE, 905 - RENASCENÇA - SÃO LUÍS - MA","19000,00",ANTONIO CARLOS AZEVEDO FERREIRA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10098,2,99,Outros bens e direitos,"01 APT. RUA OZIRES, QD. 10, LT. 32, ED. VILA BORGUE, 806 - SL. - MA.","25000,00",ANTONIO CARLOS AZEVEDO FERREIRA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10098,3,99,Outros bens e direitos,"01 CASA, RUA DAS PERPETUAS, QD. 05, CASA 11 - RENASCENÇA - SL - MA.","20000,00",ANTONIO CARLOS AZEVEDO FERREIRA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10098,4,99,Outros bens e direitos,"01 LOJA COMERCIAL, N. 15 ED. MONUMENTAL CENTER SL - MA. ","30000,00",ANTONIO CARLOS AZEVEDO FERREIRA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10098,5,99,Outros bens e direitos,CAPITAL SOCIAL DA EMPRESA A.C. AZEVEDO FERREIRA ,"10000,00",ANTONIO CARLOS AZEVEDO FERREIRA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10111,1,99,Outros bens e direitos,01 AUTOMOVEL VW FOX CITY 1.0,"38000,00",ROBERTO CARLOS BRAGA DE OLIVEIRA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10111,2,99,Outros bens e direitos,"01 CASA, SITUADA RUA BEM-TE-VI, N. 140 - PIO XII-MA","20000,00",ROBERTO CARLOS BRAGA DE OLIVEIRA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10618,1,99,Outros bens e direitos,Empresa Transteknotek Engenharia Geologia Ltda  em Paraopebas -PA,"100000,00",JOAO JULIO DO AMARAL
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10618,2,99,Outros bens e direitos,Escola em Açailãndia -MA,"1000,00",JOAO JULIO DO AMARAL
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10618,3,99,Outros bens e direitos,uma casa na rua do comercio  Açailandia /MA ,"15000,00",JOAO JULIO DO AMARAL
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10619,1,99,Outros bens e direitos,UM TERRENO LOCALIZADO EM ANAPURUS-MA,"15000,00",MANOEL PEREIRA DE SOUSA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10778,1,99,Outros bens e direitos,CASA,"30000,00",JOAO BASTOS TAVARES FILHO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10657,1,99,Outros bens e direitos,CASA RESIDENCIAL,"35000,00",MARIA DE FÁTIMA LIMA AVELINO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10657,2,99,Outros bens e direitos,TERRENO ÁREA DE 111 HA,"24000,00",MARIA DE FÁTIMA LIMA AVELINO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10657,3,99,Outros bens e direitos,CARRO POLO 1.6 2004/05,"46000,00",MARIA DE FÁTIMA LIMA AVELINO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10528,1,99,Outros bens e direitos,500 CABEÇAS DE ANIMAIS BOVINOS,"275000,00",MARIA DA GRACA FONSECA PAZ
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10528,2,99,Outros bens e direitos,"APARTAMENTO- VALE  DO RIO PIMENTA, ED GRAND TRIANON, 800","300000,00",MARIA DA GRACA FONSECA PAZ
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10528,3,99,Outros bens e direitos,"AUTOMOVEL FORD F12000, TRIO ELETRICO.","150000,00",MARIA DA GRACA FONSECA PAZ
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10528,4,99,Outros bens e direitos,AUTOMOVEL TOYOTA COROLLA,"45000,00",MARIA DA GRACA FONSECA PAZ
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10528,5,99,Outros bens e direitos,MINI TRIO CHEVROLET D40,"50000,00",MARIA DA GRACA FONSECA PAZ
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10528,6,99,Outros bens e direitos,"TERRENO NO MUNICIPIO DE  DOM PEDRO -MA, 621 HA","267556,00",MARIA DA GRACA FONSECA PAZ
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10528,7,99,Outros bens e direitos,"TERRENO NO MUNICIPIO DE DOM PEDRO-MA, 532 HA","101276,00",MARIA DA GRACA FONSECA PAZ
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10550,1,99,Outros bens e direitos, SALDO DE 20.672 AÇÕES  ORDINARIAS +10.816 AÇÕES PREFERENCIAIS + 6.297 BONUS SUBS SERIE A+ 9. BONUS SERIE b +15 BONUS SUB  SERIE c,"10,00",GEOVANE SILVA CASTRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10550,2,99,Outros bens e direitos,01 AERONAVE EMBRAER 712 / TUPY PREFIXO PT/RQ ANO  1985,"61230,00",GEOVANE SILVA CASTRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10550,3,99,Outros bens e direitos,"01 APTO N. 203 - ALAMEDA ITAPIRACÓ, BL. B, SÃO LUIS -MA","33525,43",GEOVANE SILVA CASTRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10550,4,99,Outros bens e direitos,"01 APTO, LOCAL.  A RUA  DOS PARDAIS , N 12, BLOCO APTO 501 - RENASCENÇA / SÃO LUIS -MA","96479,84",GEOVANE SILVA CASTRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10550,5,99,Outros bens e direitos,"01 AUTOMOVEL MUSTANG/ CONVERSIVEL, ANO 1995","48984,00",GEOVANE SILVA CASTRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10550,6,99,Outros bens e direitos,01 CASA  RESID.  N. 02 -CONJ. IPEM - TIMBIRAS / TIMBIRAS -MA,"1387,93",GEOVANE SILVA CASTRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10550,7,99,Outros bens e direitos,"01 CASA RES. , NO ALTO DO CALHAU, RUA CAJARÍ, LOTE 09, QUADRA 12 - SÃO LUIS -MA","61230,00",GEOVANE SILVA CASTRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10550,8,99,Outros bens e direitos,"01 IMOVEL RESIDENCIAL, SITO A RUA 10 DE JULHO, 08 - VILA BESSA - SÃO LUIS -MA","17144,00",GEOVANE SILVA CASTRO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,MA,MA,MARANHÃO,10550,9,99,Outros bens e direitos,01 LINHA MOVEL DE CELULAR N. 91148004,"650,00",GEOVANE SILVA CASTRO
