DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,1,99,Outros bens e direitos,Nove terrenos na periferia da cidade de Remígio-PB,"45000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,2,99,Outros bens e direitos,Um Monza Classic ano 92,"13000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,3,99,Outros bens e direitos,Um automóvel camioneta D20 ano 1988,"20000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,4,99,Outros bens e direitos,Um automóvel da Chevrolet ano 1994,"13000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,5,99,Outros bens e direitos,Um caminhão marca Wolhswagen ano 1988,"35000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,6,99,Outros bens e direitos,"Um hospital denominado Casa de Saúde N. S. do Patrocínio Ltda, situado à rua Cônego Vieira, s/n, Remígio-PB","4000000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,7,99,Outros bens e direitos,"Um prédio 1. andar à rua Manoel Rodrigues, s/n, Centro, Esperança-PB","100000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,8,99,Outros bens e direitos,"Um prédio comercial na rua Manoel Rodrigues, s/n, com 02 andares, Centro, Esperança-PB","1000000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,9,99,Outros bens e direitos,"Um prédio comercial à rua João Pessoa, s/n, Centro, Esperança-PB","100000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,10,99,Outros bens e direitos,"Um prédio escolar na rua Luiz Bronzeado, s/n, Centro, Remígio-PB","150000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,11,99,Outros bens e direitos,"Um terreno na BR com dimensões de 40/100, zona periférica da cidade de Esperança-PB","150000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,12,99,Outros bens e direitos,"Uma camioneta cabine dupla da Chevrolet ano 2001, mod. 2002","50000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,13,99,Outros bens e direitos,"Uma casa comercial, denominada Poliedro, na rua Lindolfo Azevedo, s/n","1000000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,14,99,Outros bens e direitos,"Uma casa na avenida José Américo de Almeida, n° 1132, Praia Formosa","200000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10112,15,99,Outros bens e direitos,"Uma casa residencial, situada na rua Cônego Rui Vieira, Remígio-PB","200000,00",JOSÉ PASSOS DA COSTA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10115,1,99,Outros bens e direitos,"Apartamento Residencial no Edf. Salzburg, 502, Miramar, João Pessoa-PB","110000,00",ATAÍDES MENDES PEDROSA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10115,2,99,Outros bens e direitos,Apartamento no Edf. Expedicionários IV-Torre-João Pessoa,"50000,00",ATAÍDES MENDES PEDROSA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,PB,PB,PARAÍBA,10115,3,99,Outros bens e direitos,"Apartamento no Edf. Guadarrama, 202, Expedicionários, João Pessoa-PB","60000,00",ATAÍDES MENDES PEDROSA
