DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10162,1,99,Outros bens e direitos,UM APTO NR 1002 À AV. FRANKLIN CAMPOS SOBRAL 1623 BLOCO B COND. AQUÁRIOS ARACAJU/SE ,"133100,80",WALDOILSON DOS SANTOS LEITE
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10162,2,99,Outros bens e direitos,UM TERRENO LOCALIZADO NA RUA A8 LOT. PRAIA DO SUL I QUADRA D LOTE 01 MOSQUEIRO EM ARACAJU/SE,"10000,00",WALDOILSON DOS SANTOS LEITE
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10162,3,99,Outros bens e direitos,UM VEÍCULO BUGGY MODELO VW PANDA ANO 1974,"3000,00",WALDOILSON DOS SANTOS LEITE
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10162,4,99,Outros bens e direitos,UM VEÍCULO MARCA GM/MERIVA ANO/MODELO 2003,"24970,00",WALDOILSON DOS SANTOS LEITE
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10039,1,99,Outros bens e direitos,APARTAMENTO 1002 ED. MONTPARNASSE,"189542,50",MARCELO DÉDA CHAGAS
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10039,2,99,Outros bens e direitos,AUTOMÓVEL CITROEN X-SARA,"58500,00",MARCELO DÉDA CHAGAS
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10065,1,99,Outros bens e direitos,VEÍCULO BESTA MARCA IMP. KIA MOD. 1999 HZC 5433,"36000,00",ADELSON BARRETO DOS SANTOS
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10086,1,99,Outros bens e direitos,residencia medindo 6x25m localizado a rua N. Senhora da Conceição em Moita Bonita - Serigpe,"7000,00",MARCOS VANDER COSTA DA CUNHA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10086,2,99,Outros bens e direitos,"terreno urbano medindo 10mx30m. localizado na Praça Santa Terezinha, Moita Bonita- Sergipe","33000,00",MARCOS VANDER COSTA DA CUNHA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10090,1,99,Outros bens e direitos,50% do capital social da firma Fisioplan- clinica de fisioterapia ltda CNPJ 01774953/0001-70 (SÓCIO QUOTISTA),"2000,00",JOSÉ UBIRATAN DE OLIVEIRA GREGÓRIO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10090,2,99,Outros bens e direitos,"Casa a rua Campos, 645, Aracaju Cartorio do Primeiro Of. Livro 561 FL 021 em 27/02/98. ADQ. por saldo da poupança e venda de consórcio","40000,00",JOSÉ UBIRATAN DE OLIVEIRA GREGÓRIO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10090,3,99,Outros bens e direitos,"Casa de praia - Cond. Viva Vidas, promessa de compra e venda","115000,00",JOSÉ UBIRATAN DE OLIVEIRA GREGÓRIO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10090,4,99,Outros bens e direitos,"Dois flats - Cond. Flat Atalaia, 418, 419, promessa de compra e venda","55000,00",JOSÉ UBIRATAN DE OLIVEIRA GREGÓRIO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10090,5,99,Outros bens e direitos,Veiculo Corolla Toyota XLI Placa HZR 7789 ANO 2004. ,"44832,00",JOSÉ UBIRATAN DE OLIVEIRA GREGÓRIO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10113,1,99,Outros bens e direitos,APLICAÇÃO BANCO DO BRASIL R FIXA LP 20 MIL AGÊNCIA 3596-3,"66344,63",JOSÉ IVAN DE CARVALHO PAIXÃO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10113,2,99,Outros bens e direitos,APLICAÇÃO BANCO DO BRASIL R FIXA LP 50 MIL AGÊNCIA 3596-3,"348870,88",JOSÉ IVAN DE CARVALHO PAIXÃO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10113,3,99,Outros bens e direitos,APLICAÇÃO BANESE EXPERT R FIXA AGÊNCIA 054,"30911,76",JOSÉ IVAN DE CARVALHO PAIXÃO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10113,4,99,Outros bens e direitos,APLICAÇÃO FI 6.800 CEF AGÊNCIA 2175-0,"129,64",JOSÉ IVAN DE CARVALHO PAIXÃO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10113,5,99,Outros bens e direitos,APLICAÇÃO LCI CEF AGÊNCIA 2175-0,"500000,00",JOSÉ IVAN DE CARVALHO PAIXÃO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10113,6,99,Outros bens e direitos,AUTOMOVEL FIAT IDEA ANO 2005,"42790,00",JOSÉ IVAN DE CARVALHO PAIXÃO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10113,7,99,Outros bens e direitos,AUTOMOVEL TOYOTA COROLA XLI 2004,"60000,00",JOSÉ IVAN DE CARVALHO PAIXÃO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10113,8,99,Outros bens e direitos,BANCO BOSTON FIC MULTIMANAGER AGENCIA 20,"49323,47",JOSÉ IVAN DE CARVALHO PAIXÃO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,SE,SE,SERGIPE,10113,9,99,Outros bens e direitos,BANCO BOSTON PIBB II AGENCIA 20,"12119,24",JOSÉ IVAN DE CARVALHO PAIXÃO
