DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6601,4,99,Outros bens e direitos,UMA CAMINHONETA HILUX 1999,"35000,00",GILBERTO VENÂNCIO SOBRINHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6602,1,99,Outros bens e direitos,PRÉDIO COMERCIAL PRAÇA SEN. JOÃO CÂMARA S/N,"15000,00",GRACILDA MARIA MARTINS DA SILVA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6603,1,99,Outros bens e direitos,UMA PROPRIEDADE RURAL 51 HA,"80000,00",JOSÉ TEIXEIRA DE CARVALHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6603,2,99,Outros bens e direitos,UMA MOTO TITAM 150,"3000,00",JOSÉ TEIXEIRA DE CARVALHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6603,3,99,Outros bens e direitos,50 OVELHAS,"6000,00",JOSÉ TEIXEIRA DE CARVALHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6604,1,99,Outros bens e direitos,CASA RESIDENCIAL SITA MONSENHOR FREITAS S/N,"20000,00",TEREZINHA ALVES PEREIRA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6605,1,99,Outros bens e direitos,CASA RESIDENCIAL RUA NOVA 173 PARAZINHO,"25000,00",GENIVAL DE MELO MARTINS
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6605,2,99,Outros bens e direitos,CASA RESIDENCIAL RUA MONSENHOR FREITAS N. 500 PARAZINHO CENTRO,"90000,00",GENIVAL DE MELO MARTINS
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6605,3,99,Outros bens e direitos,CAMINHONETA HILUX CABINE DUPLA ANO 2002,"50000,00",GENIVAL DE MELO MARTINS
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6605,4,99,Outros bens e direitos,FIAT UNO MILLE 2005,"20000,00",GENIVAL DE MELO MARTINS
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6606,1,99,Outros bens e direitos,VEÍCULO TIPO MONZA 1992,"9000,00",MARCONI SOUZA PAULINO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6606,2,99,Outros bens e direitos,MOTO BROSS 150,"8000,00",MARCONI SOUZA PAULINO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6606,3,99,Outros bens e direitos,TRATOR MASSEY FERGUSOM 235,"24000,00",MARCONI SOUZA PAULINO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6606,4,99,Outros bens e direitos,PONTO COMERCIAL PARAZINHO,"15000,00",MARCONI SOUZA PAULINO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17752,PARAZINHO,6606,5,99,Outros bens e direitos,IMÓVEL RURAL 22 HA,"50000,00",MARCONI SOUZA PAULINO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6666,1,99,Outros bens e direitos,UMA CASA NA RUA PROJETADA SN - CENTRO JARDIM DE ANGICOS,"7000,00",ANTONIA MORAES DA SILVA NUNES
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6668,1,99,Outros bens e direitos,"UMA CASA ALVENARIA, AV. PEDRO FERREIRA,712 - CENTRO - SÃO JOSÉ DE MIPIBÚ","20000,00",CARLITO SANTANA DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6668,2,99,Outros bens e direitos,"UMA CASA DE ALVENARIA, RUA DR. PAULINO, 222 - CENTRO SÃO JOSÉ DE MIPIBÚ","30000,00",CARLITO SANTANA DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6668,3,99,Outros bens e direitos,"UMA CASA AS MARGENS DA LAGOA DO BOM FIM, NISIA FLORESTA","50000,00",CARLITO SANTANA DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6668,4,99,Outros bens e direitos,UMA TERRENO LOCALIZADO NA LAGOA DO CARCARÁ EM NISIA FLORESTA,"10000,00",CARLITO SANTANA DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6668,5,99,Outros bens e direitos,UM TERRENO NO GOLANDIN DISTRITO DE TOUROS,"5000,00",CARLITO SANTANA DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6668,6,99,Outros bens e direitos,UM TERRENO C/32 HAC. POVOADO DOS BALBINOS DISTRITO DE JARDIM DE ANGICOS,"6000,00",CARLITO SANTANA DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6668,7,99,Outros bens e direitos,"UMA CASA LOCALIZADA NA RUA JOSÉ TEIXEIRA FILHO, 19 - CENTRO - JARDIM DE ANGICOS","15000,00",CARLITO SANTANA DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6668,8,99,Outros bens e direitos,UM CARRO PALIO ANO 2007,"27000,00",CARLITO SANTANA DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6669,1,99,Outros bens e direitos,UMA MOTO CG TITAN 125CC 2002,"4200,00",CARLOS ANDRÉ CÂMARA BEZERRA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6669,2,99,Outros bens e direitos,30 OVELHAS COMUM,"2700,00",CARLOS ANDRÉ CÂMARA BEZERRA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,17078,JARDIM DE ANGICOS,6669,3,99,Outros bens e direitos,100 BODES COMUM,"10000,00",CARLOS ANDRÉ CÂMARA BEZERRA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,16977,JAÇANÃ,6377,5,99,Outros bens e direitos,MOTOCICLETA HONDA FALCON 2008,"16000,00",JOSE IVANILDO DANTAS DE OLIVEIRA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,16977,JAÇANÃ,6379,1,99,Outros bens e direitos,"CASA SITUADA A RUA FRANCISCO DE PAULA, 665, CENTRO, JACANA/RN","30000,00",MARIVAN CAROLINO SOBRINHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,16977,JAÇANÃ,6380,1,99,Outros bens e direitos,"SITIO CHA DO JARDIM, ZONA RURAL, JACANA/RN","40000,00",SEBASTIAO JORGE DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,16977,JAÇANÃ,6380,2,99,Outros bens e direitos,"SITIO FLORES, ZONA RURAL, JACANA/RN","25000,00",SEBASTIAO JORGE DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,16977,JAÇANÃ,6380,3,99,Outros bens e direitos,"CASA SITUADA NA RUA MANOEL FORTUNATO DE MEDEIROS, 189, CENTRO, JACANA/RN","30000,00",SEBASTIAO JORGE DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,16977,JAÇANÃ,6380,4,99,Outros bens e direitos,"PREDIO COMERCIAL SITUADO A RUA JOSO PEREIRA, CENTRO, JACANA/RN","30000,00",SEBASTIAO JORGE DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,16977,JAÇANÃ,6380,5,99,Outros bens e direitos,"PREDIO COMERCIAL SITUADO A RUA FRANCISCO DE PAULA, CENTRO, JACANA/RN","50000,00",SEBASTIAO JORGE DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,16977,JAÇANÃ,6380,6,99,Outros bens e direitos,VEICULO MODELO SILVERADO,"30000,00",SEBASTIAO JORGE DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,16977,JAÇANÃ,6380,7,99,Outros bens e direitos,MOTO ANO/MODELO 96,"2000,00",SEBASTIAO JORGE DE LIMA
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,18333,SÃO BENTO DO TRAIRÍ,6470,1,99,Outros bens e direitos,1 CASA RESIDENCIAL EM SANTA CRUZ,"90000,00",FRANCISCO HENRIQUE SOBRINHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,18333,SÃO BENTO DO TRAIRÍ,6470,2,99,Outros bens e direitos,1 CASA RESIDENCIAL EM SÃO BENTO DO TRAIRI,"28000,00",FRANCISCO HENRIQUE SOBRINHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,18333,SÃO BENTO DO TRAIRÍ,6470,3,99,Outros bens e direitos,1 CASA RESIDENCIAL EM SANTA CRUZ,"31000,00",FRANCISCO HENRIQUE SOBRINHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,18333,SÃO BENTO DO TRAIRÍ,6470,4,99,Outros bens e direitos,1 PRÉDIO COMERCIAL NA RUA FREI MIGUELINHO,"50000,00",FRANCISCO HENRIQUE SOBRINHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,18333,SÃO BENTO DO TRAIRÍ,6470,5,99,Outros bens e direitos,1 TERRENO NA RUA CAICÓ,"7000,00",FRANCISCO HENRIQUE SOBRINHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,18333,SÃO BENTO DO TRAIRÍ,6470,6,99,Outros bens e direitos,1 PREDIO COMERCIAL NO CONJUNTO CÔNEGO MONTE,"90000,00",FRANCISCO HENRIQUE SOBRINHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,18333,SÃO BENTO DO TRAIRÍ,6470,7,99,Outros bens e direitos,1 PREDIO COMERCIAL NA RUA FREI MIGUELINHO,"30000,00",FRANCISCO HENRIQUE SOBRINHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,18333,SÃO BENTO DO TRAIRÍ,6470,8,99,Outros bens e direitos,1 P´RÉDIO COMERCIAL NA RUA JOÃO BEZERRA DA FONSECA,"150000,00",FRANCISCO HENRIQUE SOBRINHO
19/08/2021,18:49:01,2008,2,Eleicao Ordinaria,30,ELEIÇÕES 2008,2008-10-05,RN,18333,SÃO BENTO DO TRAIRÍ,6470,9,99,Outros bens e direitos,MÁQUINAS E EQUIPAMENTOS DE PANIFICAÇÃO,"60000,00",FRANCISCO HENRIQUE SOBRINHO
