DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,3,15,Sala ou conjunto,"01 SALA SITO A RUA JAIR DE ANDRADE, CENTRO - VILA VELHA - ES","36738,00",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,4,19,Outros bens imóveis,01 VAGA DE GARAGEM JUNTO AO METROPOLITANO TOWER SHOPPING,"3000,00",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,5,79,Outros fundos,COTAS DE CAPITAL DO HOSPITAL METROPOLITANO S-C LTDA.,"101677,00",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,6,79,Outros fundos,"COTAS COM AS SALAS DE N.04, 05, 06, 12, 13 E 14 DO 140 PAVIMENTO JUNTO AO METROPOLITNO TAWER SHOPPING","14933,24",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,7,63,Dinheiro em espécie - moeda nacional,DINHEIRO EM ESPECIE,"50000,00",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,8,79,Outros fundos,CREDITO JUNTO INSTITUTO GERAÇÃO TRABALHO,"93786,09",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,9,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",01 FUSCA 1976,"2000,00",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,10,11,Apartamento,01 APARTAMENTO 801 NO ED. VIVACE (FOYER AZUL),"386750,24",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,11,79,Outros fundos,APLICAÇÃO EM PREVIDENCIA PRIVADA NA SULAMERICA,"67688,42",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,12,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",01 VEICULO CROSS FOX 1.6 ANO 2007 MODELO 2008,"50929,80",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,13,13,Terreno,"FRAÇÃO DO LOTE LOCALIZADO A RODOVIA PROJETADA COM AREA DE 5.114,34 M2 EM MANGUINHOS NA SERRA - ES","30000,00",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,14,13,Terreno,"FRAÇAO DE LOTE LOCALIZADO A RODOVIA PROJETADA COM 5.114.34 M2, EM MANGUINHOS NA SERRA - ES","30000,00",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,15,13,Terreno,"FRAÇÃO DE LOTE LOCALIZADA A RODOVIA PROJETADA DE MANGUINHOS COM AREA DE 5.114.34 M2, EM MANGUINHOS NA SERRA - ES","30000,00",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,16,73,Fundo de capitalização,FUNDO DE CAPITALIZAÇÃO ICATU HARDTFORD S.A,"58,86",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,17,45,"Aplicação de renda fixa (CDB, RDB e outros)","APLICAÇÃO BANCO DO BRASIL OURO CAP MULTI CHANCE, AG. 3049-X","4170,03",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,18,45,"Aplicação de renda fixa (CDB, RDB e outros)",APLICAÇÃO OURO CAP MILIONARIO II AG. 3049 - X,"937,94",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,19,61,Depósito bancário em conta corrente no País,CONTA CORRENTE BANCO DO BRASIL AG. 3049-X C.C 13321-6,"1594,94",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000138,20,13,Terreno,"01 TERRENO LOCALIZADO EM PRAIA FORMOSA, ARACRUZ - ES COM 560M2","80000,00",CARLOS HUMBERTO MANNATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,1,11,Apartamento,"01 APARTAMENTO NA RUA CARLOS EDUARDO MONTEIRO DE LEMOS 366, BLOCO A APTO. 101, JARDIM DA PENHA - VITORIA - ES","44356,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,2,19,Outros bens imóveis,01 SITIO NO MUNICIPIO DE CARIACICA - CAJUEIRO,"45000,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,3,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",01 REBOQUE PARA CARGA VIVA ATÉ 1000KG,"800,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,4,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",01 VEICULO CAMINHÃO F-350 ANO 1962,"5000,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,5,26,Linha telefônica,LINHA TELEFONICA CONVENCIONAL 227,"500,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,6,26,Linha telefônica,LINHAS TELEFONICAS MOVEIS - CELULARES,"300,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,7,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",01 ONIBUS MARCA MAFERSA 1989,"50000,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,8,29,Outros bens móveis,2 CAVALOS E UMA MULA,"5000,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,9,29,Outros bens móveis,"01 MULA, 02 CAVALOS, 2 MINI VACAS, 01 MINI BOI E 2 BEZERROS","13800,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,10,11,Apartamento,"01 APARTAMENTO DE N.103 NO EDFICIO SAN GERMAN, JARDIM DA PENHA - ES","110000,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,11,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VEICULO MARCA MAZDAMX 3 PB ANO 1995 PL.,"15000,00",EMERSON GONÇALVES DA ROCHA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,ES,ES,ESPÍRITO SANTO,80000000140,12,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VEICULO MARCA GM-BONANZA CUSTOM DE LUX ANO 1990,"22000,00",EMERSON GONÇALVES DA ROCHA
