DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000032,28,19,Outros bens imóveis,18 LOTES TERENOS HERANCA DO PAI JULIO DOMINGOS DE CAMPOS,"141707,97",JULIO JOSE DE CAMPOS
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000032,29,19,Outros bens imóveis,19 AVOS DE 31 IMOVEIS RURAL HERANCA DO PAI JULIO DOMINGOS DE CAMPOS,"144424,86",JULIO JOSE DE CAMPOS
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000032,30,19,Outros bens imóveis,99 AVOS DE 4 VEICULOS USADOS REC HERANCA DO PAI JULIO DOMINGOS DE CAMPOS,"74381,00",JULIO JOSE DE CAMPOS
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000032,31,39,Outras participações societárias,1 9 AVOS 85 AVES 20 EQUINOS 2550 BOVINOS,"125197,76",JULIO JOSE DE CAMPOS
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000033,1,12,Casa,CASA RES BOA ESPERANCA,"85000,00",LEONCIO PINHEIRO DA SILVA FILHO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000033,2,61,Depósito bancário em conta corrente no País,CONTA CAPITAL UFCRED AG 4265 CC 102260,"50,06",LEONCIO PINHEIRO DA SILVA FILHO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000001,1,32,Quotas ou quinhões de capital,CEM POR CENTO DO CAPITAL SOCIAL DA EMPRESA MARCOS MAGNO DE CASTRO FERREIRA-ME,"10000,00",MARCOS MAGNO DE CASTRO FERREIRA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000001,2,32,Quotas ou quinhões de capital,VINTE POR CENTO DO CAPITAL SOCIAL DA EMPRESA CMS PUBLICIDADE LTDA,"10000,00",MARCOS MAGNO DE CASTRO FERREIRA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000001,3,11,Apartamento,"APARTAMENTO N. 105, NO EDIFÍCIO LEBLON, CUIABÁ-MT","30000,00",MARCOS MAGNO DE CASTRO FERREIRA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000001,4,11,Apartamento,"APARTAMENTO N. 107, NO EDIFÍCIO LEBLON, CUIABÁ-MT","30000,00",MARCOS MAGNO DE CASTRO FERREIRA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000001,5,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VW/FOX 1.6 ANO 2004/2005,"9600,00",MARCOS MAGNO DE CASTRO FERREIRA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000002,1,12,Casa,"CASA LOCALIZADA NA AVENIDA REPÚBLICA DO LÍBANO, N. 3250","40000,00",JOSÉ ROBERTO DE FREITAS CAVALCANTE
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000002,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VOYAGE ANO 1994/1995 PLACA JYE 2462,"7000,00",JOSÉ ROBERTO DE FREITAS CAVALCANTE
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000003,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",FIAT/PÁLIO 2009/2010 PLACA NPO 0169,"35000,00",MAURO CÉSAR LARA DE BARROS
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000003,2,14,Terra nua,"CHÁCARA COM 10 HECTARES, LOCALIZADA NA ESTRADA DO MANSO KM 33","50000,00",MAURO CÉSAR LARA DE BARROS
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000004,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",MOTOCICLETA CG 125 FAN KAJ 8122,"3500,00",MANOEL COSTA PARRIÃO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000005,1,12,Casa,"CASA RESIDENCIAL LOCALIZADA NA RUA LAS VELAS, 841, CUIABÁ-MT","90000,00",ARILDO LEAL DE PAULA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000005,2,12,Casa,"UMA CASA RESIDENCIAL NA RUA SAFIRA, N. 40, CUIABÁ-MT","85000,00",ARILDO LEAL DE PAULA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000005,3,12,Casa,UM TERÇO DE UMA CASA RESIDENCIAL EM CÁCERES-MT,"80000,00",ARILDO LEAL DE PAULA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000005,4,13,Terreno,"TERRENO URBANO NO LOTEAMENTO IPANEMA, CÁCERES-MT","7000,00",ARILDO LEAL DE PAULA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000005,5,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",FORD/FIESTA 2005/2005,"21000,00",ARILDO LEAL DE PAULA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000005,6,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",FIAT/PALIO FIRE FLEX 2008/2009 PLACA NJV 7159,"33000,00",ARILDO LEAL DE PAULA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000005,7,41,Caderneta de poupança,POUPANÇA BB,"3987,18",ARILDO LEAL DE PAULA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000006,1,12,Casa,"CASA LOCALIZADA NO BAIRRO CENTRO AMÉRICA, RUA 02, QD 57, N. 15","50000,00",GILBERTO LOPES FILHO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000006,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VW/GOL SPECIAL ANO 2004/2004 PLACA JZR 7841,"14200,00",GILBERTO LOPES FILHO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000007,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VOYAGE 1.6 ANO 2009/2010 PLACA NJK 7357,"40900,00",ÁLVARO JOSÉ ORMOND
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,MT,MT,MATO GROSSO,110000000007,2,41,Caderneta de poupança,POUPANÇA BANCO DO BRASIL,"25517,61",ÁLVARO JOSÉ ORMOND
