DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,3,13,Terreno,SITUADO NA RUA SÃO FRANCISCO PIRIPIRI PIAUÍ,"5000,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,4,13,Terreno,SITUADO NA RUA SÃO FRANCISCO SN PIRIPIRI PIAUÍ,"5000,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,5,13,Terreno,SITUADO NA RUA BAURELIO MANGABEIRA SN PIRIPIRI PIAUI,"10000,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,6,13,Terreno,SITUADO NA RUA BAURELIO SN PIRIPIRI PIAUÍ,"2000,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,7,13,Terreno,SITUADO NA RUA ARISTEU TUPINAMBÁ PIRIPIRI PIAUÍ,"2000,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,8,13,Terreno,SITUADO NA DATA BOTICA PIRIPIRI PIAUÍ,"2500,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,9,24,Bem relacionado com o exercício da atividade autônoma,MESA CIRURGICA COM DEZ POSIÇÕES,"10000,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,10,24,Bem relacionado com o exercício da atividade autônoma,FOCO CIRURGICO DE TETO,"2500,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,11,29,Outros bens móveis,UM COMPUTADOR COM IMPRESSORA,"1500,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,12,14,Terra nua,GLEBA DE TERRA NO LUGAR MALHADINHA PIRIPIRI PIAUÍ,"10000,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,13,12,Casa,SITUADA NA AV ADERSON FERREIRA PIRIPIRI PIAUÍ,"10000,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,14,11,Apartamento,LOCALIZADO NO EDIFICIO PALAZZO SIRMIONE NA RUA MIOSOTIS TERESINA PIAUÍ,"264497,10",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,15,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",UMA KOMBI COM EQUIPAMENTO DE SOM,"25000,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000220,16,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",UMA TOYOTA HILLUX,"56150,00",JOSE PINTO DE MESQUITA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000222,1,11,Apartamento,APARTAMENTO NO CONDOMINIO MORADA DA ATALAIA EM LUIZ CORREIA PI,"15458,00",LUIZ UBIRACI DE CARVALHO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000222,2,11,Apartamento,APARTAMENTO NO EDIFICIO TOM OBIM SITUADO NA AVENIDA AREA LEAO EM TERESINA PI,"90000,00",LUIZ UBIRACI DE CARVALHO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000091,2,13,Terreno,TERRENO URBANO 15X15 LOCALIZADO NA RUA B NA CIDADE DE PARNAIBA -PI,"3500,00",PEDRO PAULO QUARESMA DE CARVALHO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000091,3,13,Terreno,TERRENO URBANO 14X30 LOCALIZADO NA QUADRA 43 LOTE 01 NA CIDADE DE PARNAIBA,"6500,00",PEDRO PAULO QUARESMA DE CARVALHO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000091,4,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",MOTOCICLETA HONDA ANO 2008,"4000,00",PEDRO PAULO QUARESMA DE CARVALHO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000091,5,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",VEICULO AUTOMOTOR A GASOLINA,"15000,00",PEDRO PAULO QUARESMA DE CARVALHO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000092,1,12,Casa,CASA RESIDENCIAL NO DIRCEU 2 Q -292 CASA - 01,"70000,00",RAIMUNDO LIMA DE ALMEIDA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000092,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",HONDA CG 125 FAN ANO 2008,"3500,00",RAIMUNDO LIMA DE ALMEIDA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000092,3,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",HONDA BIZ 2005,"2000,00",RAIMUNDO LIMA DE ALMEIDA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,PI,PI,PIAUÍ,180000000092,4,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",FORDE CORCEL LUXO ANO 1976,"700,00",RAIMUNDO LIMA DE ALMEIDA
