DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000718,1,12,Casa,"2 QUARTOS , SALA , VARANDA COZINHA , BANHEIRO, COBERTURA","95000,00",VALDINEI DE SOUZA DIAS
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000718,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",PARATI ANO/2005,"25000,00",VALDINEI DE SOUZA DIAS
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000718,3,24,Bem relacionado com o exercício da atividade autônoma,AUTONOMIA DE TAXI DO RIO DE JANEIRO,"80000,00",VALDINEI DE SOUZA DIAS
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000721,1,41,Caderneta de poupança,BANCO ITAU,"10000,00",VICTOR HENRIQUE RAMON
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000721,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",FIAT UNO MODELO ANO MIL NOVECENTOS E NOVENTA E NOVE,"12000,00",VICTOR HENRIQUE RAMON
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000721,3,12,Casa,IMOVEL AINDA FINANCIADO PELA CAIXA ECONOMICA FEDERAL,"148000,00",VICTOR HENRIQUE RAMON
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000723,1,25,"Jóia, quadro, objeto de arte, de coleção, antiguidade, etc.",JOIAS,"100000,00",WALTER FRANCESCO CORCIONE
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000723,2,63,Dinheiro em espécie - moeda nacional,"REAL NO VALOR DE R$150.000,00","150000,00",WALTER FRANCESCO CORCIONE
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000723,3,25,"Jóia, quadro, objeto de arte, de coleção, antiguidade, etc.","QUADROS NO VALOR DE R$10.000,00","10000,00",WALTER FRANCESCO CORCIONE
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000724,1,96,Leasing,"AUTOMOVEL HONDA, 2000","24000,00",WELLINGTON PASSOS BARROS
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000725,1,11,Apartamento,BARRA DA TIJUCA,"199000,00",ADELGICIO EMIDIO DE ALMEIDA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000725,2,12,Casa,EM DUQUE DE CAXIAS,"24860,60",ADELGICIO EMIDIO DE ALMEIDA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000725,3,11,Apartamento,"JARDIM GUANABARA, ILHA DO GOVERNADOR / RJ","24606,04",ADELGICIO EMIDIO DE ALMEIDA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000725,4,18,Loja,DUQUE DE CAXIAS,"32865,00",ADELGICIO EMIDIO DE ALMEIDA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000725,5,19,Outros bens imóveis,SITIO AKI KI NOIS MORA,"82868,68",ADELGICIO EMIDIO DE ALMEIDA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000725,6,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",FIAT ESTRADA 2001,"18026,30",ADELGICIO EMIDIO DE ALMEIDA
19/04/2021,13:16:05,2010,2,Eleicao Ordinaria,37,Eleições 2010,2010-10-03,RJ,RJ,RIO DE JANEIRO,190000000725,7,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",PALIO LX 1.3 FLEX,"40082,96",ADELGICIO EMIDIO DE ALMEIDA
