DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000824,1,95,Consórcio não contemplado,BB CONSORCIO AUTOMOVEIS,"18000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000824,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","CARRO ETHIOS TOYOTA, 2013, COR VERMELHO","23300,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000824,3,13,Terreno,"TERRENO RUA T 07, CARACARAI","28000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000824,4,12,Casa,"CASA EM ALVENARIA, REIS MAGOS I, CARACARAI","100000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000824,5,12,Casa,"CASA EM ALVENARIA BAIRRO MECEJANA, FINANCIADA CEF","220000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000825,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",MOTO BIS C100 ANO 1999,"3000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000825,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",CARRO FIAT UNO ANO 1997,"8000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000826,1,12,Casa,CASA RESIDENCIAL,"50000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000826,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",PALIO 1.0 5 PORTAS ANO 2010/2011,"21000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000828,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","SPIN, COR BRANCO, CHEVROLET","35000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000830,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",MOTO BROS HONDA,"9000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000830,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",CARRO CROS FOX,"15500,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000831,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","FIAT UNO COR CINZA, ANO 2001","5000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000831,2,13,Terreno,TERRENO LOCALIZADO RUA D-2 N. 270 BAIRRO SANTA LUZIA,"5000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000832,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",S10 ANO 2009/2010,"30000,00",
18/02/2021,12:06:52,2016,2,Eleicao Ordinaria,220,Eleicoes Municipais 2016,2016-10-02,RR,3034,CARACARAÍ,230000000833,1,12,Casa,CONSTRUIDA EM ALVENARIA NO BAIRRO SÃO JOSE OPERARIO,"25000,00",
