DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000600622,1,12,Casa,casa com 309 metros quadrados no Reserva Bela Vista Maceio-AL,"600000,00",ADELMO JOSÉ SILVA DE ASSIS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000600622,2,13,Terreno,Residencial Aguas Mansas Qd G Lt 03 Paripueira-AL,"70000,00",ADELMO JOSÉ SILVA DE ASSIS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000600622,3,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",Tracker LTZ - Financiado,"53813,97",ADELMO JOSÉ SILVA DE ASSIS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000600622,4,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",Mini Cooper BMW - Financiado,"118000,00",ADELMO JOSÉ SILVA DE ASSIS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000600623,1,13,Terreno,"PARTE DO LOTE DE TERRENO SOB NUMERO 21 DA QUADRA Q, COMPONENTE DO RESIDENCIAL ALDEBARAN OMEGA, SITUADO NO BAIRRO JARDIM PETROPOLIS, EM MACEIO/AL","1343,83",MARIA TAVARES FERRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000600623,2,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",FORD FOCUS TI AT 2.0 SC ANO/MOD 2016/2016,"87000,00",MARIA TAVARES FERRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000600624,1,39,Outras participacoes societarias,"1OO% DO CAPITAL SOCIAL DA EMPRESA INDIVIDUAL TIBERIO DA SILVA ROCHA JUNTOR, CNpJ 00.473.664/0001 -78","2000,00",TIBÉRIO DA SILVA ROCHA JÚNIOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000600624,2,41,Caderneta de poupanca,CADERNETA DE POUPANCA NO BANCO ITAU PERSONNALITE.,"6412,67",TIBÉRIO DA SILVA ROCHA JÚNIOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000600624,3,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.","VEICULO ONIX 1.4 LT, PLACAS OHJ 8651, ADQUIRIDO DE BOATERRA VEICULOS E PECAS LTDA,M CNPJ 00.460.463/000i-36, EM 30/01/2013.","39490,00",TIBÉRIO DA SILVA ROCHA JÚNIOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000600624,4,39,Outras participacoes societarias,"50% DAS QUOTAS DA EMPRESA BREDA E ROCHA COMERCIO DE VSTUARIO LTDA-ME, CNPJ 21.018.798/OOO1-79. PARCELA INTEGRALIZADA, PELO TITULAR.","20000,00",TIBÉRIO DA SILVA ROCHA JÚNIOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000602676,2,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"63260,31",HELOISA HELENA LIMA DE MORAES
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000602677,1,12,Casa,NULO,"50000,00",JOSE AMARO DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000602677,2,13,Terreno,NULO,"30000,00",JOSE AMARO DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000602677,3,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"10000,00",JOSE AMARO DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000602677,4,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"5000,00",JOSE AMARO DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000605542,1,12,Casa,"Casa residencial de 12mx12m, localizada na Rua Francisco Souza, n 131, Pariconha - Alagoas.","200000,00",MARIA DAS GRAÇAS SOARES DE ARAUJO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000605542,5,13,Terreno,"Sitio com 10 tarefas de terra, localizado no Povoado Verdao, S/N, Pariconha.","300000,00",MARIA DAS GRAÇAS SOARES DE ARAUJO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,AL,AL,ALAGOAS,20000605543,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.","Carro Chevrolet, modelo Onix Joy, ano 2017, modelo 2018, placa QLI6108. Financiado em 2017 com valor total pago de R$ 20.000,00","20000,00",EMERSON MAMEDE FERREIRA
