DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,GO,GO,GOIAS,90000602017,1,12,Casa,NULO,"280000,00",MILTON SERTÃO DE OLIVEIRA 
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,GO,GO,GOIAS,90000602021,1,11,Apartamento,NULO,"210000,00",FABRICIO SILVA ROSA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,GO,GO,GOIAS,90000602021,2,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"19364,00",FABRICIO SILVA ROSA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,GO,GO,GOIAS,90000602021,3,19,Outros bens imoveis,NULO,"50000,00",FABRICIO SILVA ROSA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,GO,GO,GOIAS,90000602022,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"15000,00",AUGUSTINHO SCHEFFER DA ROSA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,GO,GO,GOIAS,90000602022,2,12,Casa,NULO,"100000,00",AUGUSTINHO SCHEFFER DA ROSA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,GO,GO,GOIAS,90000602023,1,12,Casa,NULO,"100000,00",VERALUCIA RODRIGUES BENTO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,GO,GO,GOIAS,90000602023,2,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"19363,00",VERALUCIA RODRIGUES BENTO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,GO,GO,GOIAS,90000602024,1,11,Apartamento,NULO,"150000,00",ANA MARIA SOUZA E SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,GO,GO,GOIAS,90000602025,1,11,Apartamento,NULO,"78000,00",HILDARI BRAZ RICARDO DA SILVEIRA
