DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601175,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"60000,00",AIRTON MARQUES SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601175,2,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"190000,00",AIRTON MARQUES SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601175,3,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"80000,00",AIRTON MARQUES SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601175,4,13,Terreno,NULO,"250000,00",AIRTON MARQUES SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601175,5,13,Terreno,NULO,"250000,00",AIRTON MARQUES SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601175,6,13,Terreno,NULO,"200000,00",AIRTON MARQUES SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601177,1,12,Casa,NULO,"100000,00",DEIDIMAR PEREIRA DE SOUSA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601178,1,49,Outras aplicacoes e Investimentos,NULO,"68571,43",FABIO HENRIQUE RAMOS BRAGA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601178,2,49,Outras aplicacoes e Investimentos,NULO,"100000,00",FABIO HENRIQUE RAMOS BRAGA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601178,3,13,Terreno,NULO,"70000,00",FABIO HENRIQUE RAMOS BRAGA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601178,4,13,Terreno,NULO,"110000,00",FABIO HENRIQUE RAMOS BRAGA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601178,5,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"130000,00",FABIO HENRIQUE RAMOS BRAGA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601178,6,59,Outros creditos e poupanca vinculados,NULO,"35476,76",FABIO HENRIQUE RAMOS BRAGA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601178,7,12,Casa,NULO,"10000,00",FABIO HENRIQUE RAMOS BRAGA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601178,8,13,Terreno,NULO,"650000,00",FABIO HENRIQUE RAMOS BRAGA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601178,9,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"210000,00",FABIO HENRIQUE RAMOS BRAGA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MA,MA,MARANHAO,100000601178,10,12,Casa,NULO,"307241,25",FABIO HENRIQUE RAMOS BRAGA
