DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600192,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.","MOTOCICLETA/XRE 300/HONDA, ADQUIRIDA EM 25/05/2011, NF-e 55.031 ","14401,49",LUIS AUGUSTO LIMA SCARPANTI
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600192,2,39,Outras participacoes societarias,"PARTICIPACAO NO CAPITAL SOCIAL DA EMPRESA VETTORE TRANSPORTES E LOGISTICA LTDA, NIRE PRIMITIVO 54.200.999.588, REGISTRADA NA JUCEMS EM 23/06/2010.","10000,00",LUIS AUGUSTO LIMA SCARPANTI
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600192,3,39,Outras participacoes societarias,"PARTICIPACAO NO CAPITAL SOCIAL DA EMPRESA BOM PASTOR LANCHES LTDA, NIRE PRIMITIVO","1800,00",LUIS AUGUSTO LIMA SCARPANTI
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600192,4,12,Casa,"CASA RESIDENCIAL AVENIDA BOM PASTOR,1149    Matricula 148728","160120,57",LUIS AUGUSTO LIMA SCARPANTI
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600192,5,39,Outras participacoes societarias,"PARTICIPACAO NO CAPITAL SOCIAL DA DF9 TECNOLOGIA LTDA, NIRE PRIMITIVO 54.201.065.619, REGISTRADA NA JUCEMS EM 01/07/2014 ","65000,00",LUIS AUGUSTO LIMA SCARPANTI
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600192,6,12,Casa,"CASA CONDOMINIO ILHA SERENA, AVENIDA RITA VIEIRA DE ANDRADE, 700  CASA 128   MATRICULA 243.503","97742,20",LUIS AUGUSTO LIMA SCARPANTI
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600192,7,12,Casa,"CASA RUA ALICE BARBOSA LOPES, 06  - JARDIM MANSUR   MATRICULA 212406","111014,61",LUIS AUGUSTO LIMA SCARPANTI
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600192,8,95,Consorcio nao contemplado,BRADESCO CONSORCIOS,"12507,50",LUIS AUGUSTO LIMA SCARPANTI
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600193,1,12,Casa,"CASA DE 93,77M2 EM TERRENO DE 12,10M X 32,50M - MATRICULA N. 17.125 ","200000,00",EDUARDO FERRUFINO GUZMAN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600193,2,13,Terreno,"TERRENO DE 12,10M X 32,50M - MATRICULA N. 14.232","60000,00",EDUARDO FERRUFINO GUZMAN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600193,3,13,Terreno,"TERRENO DE 12,10M X 32,50M - MATRICULA N. 14.233","60000,00",EDUARDO FERRUFINO GUZMAN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,MS,MS,MATO GROSSO DO SUL,120000600193,4,13,Terreno,"TERRENO DE 24,20M X 32,50M - MATRICULA N. 30.396","140000,00",EDUARDO FERRUFINO GUZMAN
