DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PA,PA,PARA,140000603603,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",FORD/SE 1.0 HA B PLACA PYK 4430 ANO 2016/17 COR BRANCO FINANCIADO,"39024,00",ELIENE COUTO BEZERRA PINTO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PA,PA,PARA,140000603603,2,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",ELANTRA/HYUNDAI PLACA QEQ 1109 ANO 2016/17 COR PRATA FINANCIADO,"111360,00",ELIENE COUTO BEZERRA PINTO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PA,PA,PARA,140000603604,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",FORD FIESTA ANO 211/2012,"16000,00",MARIA IRANILSE BRASIL DIAS PINHEIRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PA,PA,PARA,140000603604,2,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.","I/HAFEI MINI PICK-UP L, ANO 2010 MODELO 2011","50000,00",MARIA IRANILSE BRASIL DIAS PINHEIRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PA,PA,PARA,140000603604,3,39,Outras participacoes societarias,PARTICIPACAO CAPITAL NO COLEGIO QUINGOSTA PINHEIRO LTDA CNPJ 17.387.731/0001-34,"7500,00",MARIA IRANILSE BRASIL DIAS PINHEIRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PA,PA,PARA,140000603604,4,39,Outras participacoes societarias,PARTICIPACAO NO COLEGIO SOCIEDADE CIVIL INTEGRADA MADRE CELESTE ,"1200000,00",MARIA IRANILSE BRASIL DIAS PINHEIRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PA,PA,PARA,140000603605,1,13,Terreno,"NOVA VIDA TV. AMIGOS N 04 , AV NOSSA SENHORA DA CONCEICAO , BAIRRO SAO JOAO DO OUTEIRO 5X10","35000,00",PATRICIA MENDES CARVALHO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PA,PA,PARA,140000603607,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",MOTO HONDA CG TITAN PLACA JUD 1154 ANO 2002,"2500,00",PAULO ROBERTO MARQUES MARTINS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PA,PA,PARA,140000603607,2,12,Casa,SOARES CARNEIRO 1245 BAIRRO UMARIZAL BELEM /PA,"100000,00",PAULO ROBERTO MARQUES MARTINS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PA,PA,PARA,140000603610,1,13,Terreno,MAGALHAES BARATA PA 395 PARA,"3000,00",ROSANGELA DO SOCORRO NASCIMENTO DA SILVA
