DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PR,PR,PARANA,160000601657,1,61,Deposito bancario em conta corrente no Pais,Conta - Banco do Brasil,"17971,28",ANA PAULA PELLEGRINELLO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PR,PR,PARANA,160000601657,2,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",Fiat 500 Sport Dual,"30000,00",ANA PAULA PELLEGRINELLO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PR,PR,PARANA,160000601659,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.","Renault/Sandero EXP 16, 2010/2011","19500,00",CARLOS JOSÉ SVIONTEK JUNIOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PR,PR,PARANA,160000601659,2,61,Deposito bancario em conta corrente no Pais,Conta Corrente Banco Original S/A,"3194,72",CARLOS JOSÉ SVIONTEK JUNIOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PR,PR,PARANA,160000601659,3,61,Deposito bancario em conta corrente no Pais,Conta Corrente Banco Santander S/A,"47,15",CARLOS JOSÉ SVIONTEK JUNIOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PR,PR,PARANA,160000601659,4,32,Quotas ou quinhoes de capital,Quotas na empresa Truesec,"1000,00",CARLOS JOSÉ SVIONTEK JUNIOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PR,PR,PARANA,160000601660,1,12,Casa,"Casa, a Rua Adelaide Stresser Scheleder, 135 casa 13, Curitiba, Pr, Matricula no. 29.495 do cartorio de registro de imoveis da 2a. Circunscricao imobiliaria de Curitiba, indicacao fiscal no. 36-114-05","556166,65",CARLOS ROBERTO OLIVEIRA DE ALMEIDA SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PR,PR,PARANA,160000601660,2,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.","Marca Kia, modelo Carens 2008, placas AQI-3392","78000,00",CARLOS ROBERTO OLIVEIRA DE ALMEIDA SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PR,PR,PARANA,160000601660,3,97,VGBL - Vida Gerador de Beneficio Livre,Plano Empresarial - Participante,"64704,13",CARLOS ROBERTO OLIVEIRA DE ALMEIDA SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,PR,PR,PARANA,160000601660,4,61,Deposito bancario em conta corrente no Pais,Plano Empresarial - Empresa,"43136,10",CARLOS ROBERTO OLIVEIRA DE ALMEIDA SANTOS
