DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,RS,RS,RIO GRANDE DO SUL,210000600000,1,12,Casa,"50% DE CASA LOCALIZADA NA RUA: LANDEL DE MOURA, 1394 BAIRRO: TRISTEZA PORTO ALEGRE AREA: 72M2  + QUARTO SEPARADO DO IMOVEL PRINCIPAL(FUNDOS) COM 35M2","200000,00",LUCIANA KREBS GENRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,RS,RS,RIO GRANDE DO SUL,210000600000,2,45,"Aplicacao de renda fixa (CDB, RDB e outros)",APLICACAO DE RENDA FIXA NO BANRISUL,"6381,00",LUCIANA KREBS GENRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,RS,RS,RIO GRANDE DO SUL,210000600000,3,63,Dinheiro em especie - moeda nacional,DINHEIRO EM ESPECIE,"2000,00",LUCIANA KREBS GENRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,RS,RS,RIO GRANDE DO SUL,210000600000,4,61,Deposito bancario em conta corrente no Pais,"CONTA CORRENTE NA CEF.  AGENCIA: 1851, CONTA: 383-0","1908,00",LUCIANA KREBS GENRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,RS,RS,RIO GRANDE DO SUL,210000600000,5,41,Caderneta de poupanca,"CADERNETA DE POUPANCA NO BANRISUL AGENCIA: 0839, CONTA: 35.053691.0-2","14,00",LUCIANA KREBS GENRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,RS,RS,RIO GRANDE DO SUL,210000600000,6,61,Deposito bancario em conta corrente no Pais,"CONTA CORRENTE NO BANRISUL AGENCIA: 0839, CONTA: 35.053691.0-2","73,00",LUCIANA KREBS GENRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,RS,RS,RIO GRANDE DO SUL,210000600000,7,32,Quotas ou quinhoes de capital,50% DE CAPITAL SOCIAL DA SOCIEDADE SIMPLES PURA GENRO   GENRO ADVOGADOS CNPJ: 15.537.821/0001-39,"500,00",LUCIANA KREBS GENRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,RS,RS,RIO GRANDE DO SUL,210000600000,8,51,Credito decorrente de emprestimo,EMPRESTIMO A GENRO   GENRO ADVOGADOS,"30119,00",LUCIANA KREBS GENRO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,RS,RS,RIO GRANDE DO SUL,210000600002,1,25,"Joia, quadro, objeto de arte, de colecao, antiguidade, etc.",JOIAS ,"4000,00",ANDRÉ NOGUEIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,RS,RS,RIO GRANDE DO SUL,210000600002,2,12,Casa,"TERRENO DE 300M2 COM UMA CASA DE 48M2 RUA SALGADO FILHO, 115 CENTRO SAO FRANCISCO DE PAULA","60000,00",ANDRÉ NOGUEIRA
