DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600250,1,11,Apartamento,"50% DE APARTAMENTO EM BOMBINHAS - SC, CONTRATO DE COMPRA E VENDA","350000,00",ADRIANA DORNELLES PAZ KAMIEN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600250,2,12,Casa,"50% CASA DE ALVENARIA 306,23 ,2 SOBRE TERRENO COM 1.215,87 M2, RIO NEGRO - PR ","186764,25",ADRIANA DORNELLES PAZ KAMIEN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600250,3,32,Quotas ou quinhoes de capital,2.500 COTAS DE CAPITAL DA EMPRESA SANDLER   KAMIEN LTDA CNPJ 03.356.799/0001-41,"2500,00",ADRIANA DORNELLES PAZ KAMIEN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600250,4,32,Quotas ou quinhoes de capital,75.000 COTAS DE CAPITAL DA EMPRESA MOVEL DO MEU JEITO LTDA CNPJ 21.583.822/0001-12,"75000,00",ADRIANA DORNELLES PAZ KAMIEN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600250,5,32,Quotas ou quinhoes de capital,ADIANTAMENTO PARA AUMENTO DE CAPITAL NA EMPRESA MOVEL DO MEU JEITO LTDA ME ,"47305,77",ADRIANA DORNELLES PAZ KAMIEN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600250,6,61,Deposito bancario em conta corrente no Pais,CONTA CORRENTE CAIXA ECONOMICA FEDERAL - AGENCIA 0878-8 CONTA 7.010-9,"1100,09",ADRIANA DORNELLES PAZ KAMIEN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600250,7,61,Deposito bancario em conta corrente no Pais,CONTA CORRENTE BANCO DO BRASIL S/A - AGENCIA 0206  CONTA 6183-2,"3614,84",ADRIANA DORNELLES PAZ KAMIEN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600250,8,41,Caderneta de poupanca,CONTA POUPANCA CAIXA ECONOMICA FEDERAL,"56,26",ADRIANA DORNELLES PAZ KAMIEN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600250,9,41,Caderneta de poupanca,CONTA POUPANCA OURO BANCO DO BRASIL S/A AGENCIA 0206-2 CONTA 6183-2,"0,45",ADRIANA DORNELLES PAZ KAMIEN
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600251,1,39,Outras participacoes societarias,COTAS DE PARTICIPACAO DA EMPRESA DATABERG INFORMATICA LTDA ME,"3000,00",CRISTIANE REGINA CASAS FURTADO BERGER
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600251,2,39,Outras participacoes societarias,COTAS DE PARTICIPACAO DA BERGER COMPUTADORES LTDA ,"87,00",CRISTIANE REGINA CASAS FURTADO BERGER
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600251,3,12,Casa,"TERRENO 470,81M2 EDIFICADO COM CASA ALVENARIA 184,71M2 ( DO CONJUGE)","150000,00",CRISTIANE REGINA CASAS FURTADO BERGER
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600251,4,12,Casa,CERTIFICADO DE OCUPACAO RIP 5549.00012.00-8 DE 31/07/92 (DO CONJUGE),"140000,00",CRISTIANE REGINA CASAS FURTADO BERGER
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,1,32,Quotas ou quinhoes de capital,QUOTAS DE CAPITAL CREDCREA,"13262,76",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,2,32,Quotas ou quinhoes de capital,QUOTAS DE CAPITAL DA EMPRESA USUY SAUDE LTDA,"300,00",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,3,41,Caderneta de poupanca,POUPANCA CEF,"34,37",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,4,45,"Aplicacao de renda fixa (CDB, RDB e outros)",RENDA RIXA - CREDCREA,"149,72",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,5,61,Deposito bancario em conta corrente no Pais,SALDO C/C UNICRED,"1368,93",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,6,61,Deposito bancario em conta corrente no Pais,SALDO C/C UNICRED,"6115,64",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,7,61,Deposito bancario em conta corrente no Pais,SALDO C/C UNICRED,"11371,26",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,8,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",HONDA CIVIC 2011 ,"52380,00",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,9,12,Casa,CASA SANTA MONICA - FINANCIADA CEF,"625936,46",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,10,32,Quotas ou quinhoes de capital,QUOTAS DE CAPITAL EMPRESA USUY EMPREENDIMENTOS,"48051,66",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600252,11,32,Quotas ou quinhoes de capital,QUOTAS DE CAPITAL UNICRED,"24668,89",EDUARDO NOBUYUKI USUY
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,1,11,Apartamento,"EDIFICIO ESTRELA DO MAR, APTO 32, BALNEARIO CAMBURIU","30615,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,2,11,Apartamento,"EDIFICIO MANHATTAN, APTO 402, BLUMENAU","400000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,3,12,Casa,RUA 7 DE SETEMBRO - CURITIBA,"280000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,4,12,Casa,RUA SAO JOAO BATISTA - CAMPOS NOVOS,"80000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,5,13,Terreno,"AREA RURAL DE 244,2 HECTARES, CAMPOS NOVOS","566800,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,6,13,Terreno,"URBANO COM AREA DE 450M2, CAMPOS NOVOS","14000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,7,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",VERANEIO 1977,"5000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,8,45,"Aplicacao de renda fixa (CDB, RDB e outros)",BANCO DO BRASIL,"190000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,9,39,Outras participacoes societarias,2000 COTAS DE-BONA   SANTOS ADVOGADOS ASSOCIADOS,"2000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,10,2,Predio comercial,"50% SALAS COMERCIAIS 1, 2, 3, 4, 5 E 06, VAGAS DE GARAGENS, BLUMENAU","320000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,11,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",BMW X5,"250000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,12,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",BMW X1,"153000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,13,2,Predio comercial,SALA COMERCIAL BLUMENAU,"150000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600253,14,45,"Aplicacao de renda fixa (CDB, RDB e outros)",MULTIMERCADOS,"250000,00",EMMANUEL ANTÔNIO SILVÉRIO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,1,39,Outras participacoes societarias,PARTICIPACAO SOCIETARIA NA EMPRESA CANTINA DON BRUNNO LTDA,"10000,00",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,2,41,Caderneta de poupanca,BANCO DO BRASIL,"13804,71",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,3,74,"Fundos: Acoes, Mutuos de Privatizacao, Invest. Empresas Emergentes, Invest.Participacao e Invest. Indice Mercado",FUNDO MUTUO DE PROVATIZACAO - FGTS VALE DO RIO DOCE,"327,00",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,4,32,Quotas ou quinhoes de capital,QUOTAS DE CAPITAL NA EMPRESA DF EMPREENDIMENTOS IMOBILIARIOS,"5000,00",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,5,41,Caderneta de poupanca,ITAU UNIBANCO,"391,53",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,6,39,Outras participacoes societarias,PARTICIPACAO NA COPERJCI,"56644,00",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,7,97,VGBL - Vida Gerador de Beneficio Livre,PREMIOS ACUMULADOS EM VGBL - BRADESCO,"3703,62",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,8,11,Apartamento,AQUISICAO DE APTO DA CONSTRUTORA ROGGA S/A. RESIDENCIAL STELLAHIS,"39500,00",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,9,39,Outras participacoes societarias,PARTICIPACAO NA COPERFLORESTAL,"86104,00",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,10,99,OUTROS BENS E DIREITOS,BANCO SEA MIN 6.66 TIPO BOTE,"6000,00",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,11,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",VEICULO UP MARCA VW 2014,"30660,00",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,12,61,Deposito bancario em conta corrente no Pais,BANCO ITAU,"450,00",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600254,13,61,Deposito bancario em conta corrente no Pais,CAIXA ECONOMICA FEDERAL,"547,56",ÉRICO VINICIUS PEREIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SC,SC,SANTA CATARINA,240000600255,1,41,Caderneta de poupanca,BANCO ITAU BBA S/A,"38,67",FABIAN LENZI NERBASS
