DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600366,1,11,Apartamento,"apartamento Rua Juscelino Kubstichek.,3000 - Valor: R$ 75.000,00","300000,00",ALEX PAULO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600366,2,11,Apartamento,"apartamento Rua Alvaro Mendonca, 1250. Valor: R$ 180.000,00","180000,00",ALEX PAULO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600366,3,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.","S10 - R$ 20.000,00","20000,00",ALEX PAULO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600366,4,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.","Fiat Strada - R$ 18.000,00","18000,00",ALEX PAULO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600368,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",fiat uno mille,"12000,00",ANTONIO CARLOS PEREIRA DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600369,1,11,Apartamento,apartamento Av Santa Maria - Guaruja,"64000,00",ANTONIO CARLOS RENOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600370,1,13,Terreno,localiza em Planalto,"80000,00",ANTONIO MARCOS GOMES SENA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600370,2,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",zafira,"35000,00",ANTONIO MARCOS GOMES SENA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600370,3,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",polo,"16000,00",ANTONIO MARCOS GOMES SENA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600371,1,99,OUTROS BENS E DIREITOS,total de rendimentos tributaveis,"26455,00",ANTONIO RODRIGUES DE SOUSA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600372,1,13,Terreno,terreno Jd Tamoio,"120000,00",APARECIDO SOUZA SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600372,2,13,Terreno,terreno condominio Porto da Aguas,"22400,00",APARECIDO SOUZA SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600372,3,13,Terreno,terreno Jd Itatiaia,"20000,00",APARECIDO SOUZA SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600372,4,13,Terreno,terreno em Poricatu,"15000,00",APARECIDO SOUZA SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600372,5,12,Casa,terreno Swiss Park,"150000,00",APARECIDO SOUZA SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600372,6,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",mitsubish fdw,"55000,00",APARECIDO SOUZA SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600373,1,12,Casa,casa em Ilhabela,"950000,00",BENEDITO AUGUSTO DOS SANTOS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600374,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",corolla,"15000,00",BRAZ ANASTACIO DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,SP,SP,SAO PAULO,250000600374,2,12,Casa,casa em Mogi da Cruzes,"124860,00",BRAZ ANASTACIO DA SILVA
