DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2712,PAUINI,40000632388,1,12,Casa,"casa residencial, localizada na Avenida Torquato Tapajós, 7726, Manaus/Am","400000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2712,PAUINI,40000632388,2,12,Casa,"casa residencial, localizada na Rua Pompeu Soares Bezerra, 282, Bairro São Francisco, Pauini/Am","100000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2712,PAUINI,40000632388,3,39,Outras participações societárias,Participação Societária na Empresa DR LOCAÇÃO DE VEICULOS EIRELI-ME,"100000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2712,PAUINI,40000632389,3,32,Quotas ou quinhões de capital,CAPITAL SOCIAL NA EMPRESA P SOUZA DOS SANTOS - ME,"200000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2550,MANAUS,40000636773,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","AUTOMOVEL RENALT SANDERO, ANO/MOD. 2013/2014, FINANCIADO PELO BANCO SANTANDER","16167,80",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2550,MANAUS,40000636773,3,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","AUTOMOVEL FORD EDGE, ANO/MOD 2012/2013 ADQUIRIDO EM NOVEMBRO DE 2017 DE SHOPPING DO AUTOMOVEL","70000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2550,MANAUS,40000636774,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","AUTOMOVEL FIAT 500 SPORT AIR, COMPRADO NA MURANO EM 12/04/2012","58900,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2550,MANAUS,40000636774,2,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","VEICULO FIAT/ARGO DRIVE 1.0 ANO 2018/2019, PLACA NAV0296 - ADQUIRIDO DA MERRONIT COMERCIAL LTDA","48999,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2550,MANAUS,40000636774,4,45,"Aplicação de renda fixa (CDB, RDB e outros)","APLICAÇÃO DE RENDA FIXA - CDB, NO BRADESCO","50599,28",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2550,MANAUS,40000636774,8,63,Dinheiro em espécie - moeda nacional,DINHEIRO EM ESPECIE,"30000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2550,MANAUS,40000636774,9,12,Casa,"CASA NO RESIDENCIAL HOUSE VILLE, ADQUIRIDA ATRAVES DE FINANCIAMENTO, QUITADA, FEITO BENFEITORIA.","267520,79",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2550,MANAUS,40000636775,1,12,Casa,IMOVEL LOCALIZADO NO ENDEREÇO DO CONTRIBUINTE,"80000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2216,CARAUARI,40000638644,3,41,Caderneta de poupança,DEPOSITO EM CONTA POUPANÇA NO BANCO DO BRASIL,"5000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2038,ANORI,40000640317,1,21,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",Veiculo marca Iveco/Daily ano de fabricação 2015 modelo 2016 placa phg1272 cor branca,"90000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2038,ANORI,40000640317,4,12,Casa,"Casa de alvenaria localizada na Rua Ayapuá, N. 02 bairro São Sebastião","150000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2038,ANORI,40000640317,7,32,Quotas ou quinhões de capital,Sócio da loteria Anori LTDA,"5880,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2038,ANORI,40000640317,8,18,Loja,"Aplicações em fundos de investimentos, FI ações vale R$ 40.000,00Ponto comercial localizado na rua Raimundo Pinto Brandão, s/n 11x25m em alvenaria","200000,00",
14/11/2021,06:20:51,2020,2,Eleicao Ordinaria,426,Eleicoes Municipais 2020,2020-11-15,AM,2275,CODAJÁS,40000648813,2,12,Casa,"Casa em alvenaria localizada na Rua Calcuta, quadra 523, casa 18 - Nova Cidade. Manaus/Amazonas. CEP 69.097-261. Sem Registo de Imóvel","100000,00",
