DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,NM_TIPO_ELEICAO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,CD_LEGENDA,SG_LEGENDA,DS_COMPOSICAO_LEGENDA,NM_LEGENDA,CD_OCUPACAO,DS_OCUPACAO,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,NM_MUNICIPIO_NASCIMENTO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,CODIGO_IBGE_MUN,CD_IBGE_MUN_NASC,NR_ZONA,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,QT_VOTOS_NOMINAIS,CD_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,9,PREFEITO,FRANCISCO IVAN ARAUJO MARCAL,-1,11,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,APL,PPB/PFL,ALIANCA PROGRESSISTA LIBERAL,-1,NULO,02/05/38,000000000NULL,58,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,1200138,-1.0,1.0,-1.0,NULO,1028.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,9,PREFEITO,PEDRO GOMES DE OLIVEIRA,-1,13,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FP,PT/PSDB/PC DO B,FRENTE POPULAR,-1,NULO,29/04/51,000000000NULL,45,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,1200138,-1.0,1.0,-1.0,NULO,601.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,9,PREFEITO,JOAO EDVALDO TELES DE LIMA,-1,15,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,27/10/56,000000000NULL,40,2,MASCULINO,NULO,-1.0,NULO,1.0,ELEITO,1200138,-1.0,1.0,-1.0,NULO,1089.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,10,VICE PREFEITO,RAIMUNDO NONATO MENDES DO NASCIMENTO,-1,111,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,APL,NULO,ALIANCA PROGRESSISTA LIBERAL,-1,NULO,19/01/52,000000000NULL,44,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1200138,-1.0,1.0,-1.0,NULO,100.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,10,VICE PREFEITO,NICANOR RICARDO DOS SANTOS,-1,151,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,11/04/37,000000000NULL,59,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1200138,-1.0,1.0,-1.0,NULO,116.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,10,VICE PREFEITO,ELIAS DAIER GONCALVES,-1,451,NULO,-1,NULO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,FP,NULO,FRENTE POPULAR,-1,NULO,14/02/73,000000000NULL,23,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1200138,-1.0,1.0,-1.0,NULO,153.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,PAULO SERGIO PERES,-1,11602,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,05/03/54,000000000NULL,42,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,128.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,MILTON ARAUJO DE MORAIS,-1,11605,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,18/09/60,000000000NULL,36,2,MASCULINO,NULO,-1.0,NULO,5.0,MEDIA,1200138,-1.0,1.0,-1.0,NULO,110.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,MARIA ZILMAR OLIVEIRA DA ROCHA,-1,11608,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,12/01/68,000000000NULL,28,4,FEMININO,NULO,-1.0,NULO,1.0,ELEITO,1200138,-1.0,1.0,-1.0,NULO,154.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,LUIZ ALVES BEZERRA,-1,11609,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,08/12/63,000000000NULL,33,2,MASCULINO,NULO,-1.0,NULO,5.0,MEDIA,1200138,-1.0,1.0,-1.0,NULO,64.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,FRANCISCO DA SILVA,-1,11610,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,27/10/39,000000000NULL,57,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,26.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,JOSE ROMILDO MARTINS,-1,11611,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,14/09/62,000000000NULL,34,2,MASCULINO,NULO,-1.0,NULO,1.0,ELEITO,1200138,-1.0,1.0,-1.0,NULO,195.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,JOSE RIBAMAR ROSENO DE CARVALHO,-1,11612,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,23/12/49,000000000NULL,47,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,75.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,RAIMUNDO BEZERRA DE LIMA,-1,11616,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,06/03/44,000000000NULL,52,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,54.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,EVANDRO OLIVEIRA CARDOSO,-1,11620,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,14/11/47,000000000NULL,49,2,MASCULINO,NULO,-1.0,NULO,1.0,ELEITO,1200138,-1.0,1.0,-1.0,NULO,54.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,MARIA CELMA VIEIRA DA COSTA,-1,11621,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,16/01/50,000000000NULL,46,4,FEMININO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,13.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,RAIMUNDO PINTO SOBRINHO,-1,11622,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,24/02/41,000000000NULL,55,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,85.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,LUIZ AVELINO MARTINS,-1,13601,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FP,PT/PSDB/PC DO B,FRENTE POPULAR,-1,NULO,29/10/38,000000000NULL,58,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,15.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,SONIA MARIA CRUZ DA SILVA,-1,13602,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FP,PT/PSDB/PC DO B,FRENTE POPULAR,-1,NULO,20/01/70,000000000NULL,26,4,FEMININO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,32.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,ANTONIO RAIMUNDO DA SILVA ANDRE,-1,13610,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FP,PT/PSDB/PC DO B,FRENTE POPULAR,-1,NULO,10/10/63,000000000NULL,33,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,62.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,ROBERTO ARAUJO DA SILVA,-1,13611,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FP,PT/PSDB/PC DO B,FRENTE POPULAR,-1,NULO,06/02/67,000000000NULL,29,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,26.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,CLAUDIO VASQUES DOS ANJOS,-1,13613,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FP,PT/PSDB/PC DO B,FRENTE POPULAR,-1,NULO,27/08/72,000000000NULL,24,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,66.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,MAXIMA SONIA FREIRE CABRAL,-1,13633,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FP,PT/PSDB/PC DO B,FRENTE POPULAR,-1,NULO,09/10/75,000000000NULL,21,4,FEMININO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,45.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,MAURI DO CARMO QUEIROZ,-1,13677,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FP,PT/PSDB/PC DO B,FRENTE POPULAR,-1,NULO,25/08/70,000000000NULL,26,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,72.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,ROBERTO GOMES DE OLIVEIRA FILHO,-1,13680,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FP,PT/PSDB/PC DO B,FRENTE POPULAR,-1,NULO,22/08/71,000000000NULL,25,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,16.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,FRANCISCO DE ARAUJO NASCIMENTO,-1,15601,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,26/06/55,000000000NULL,41,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,53.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,JOSE ALVES DA SILVA,-1,15602,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,31/10/49,000000000NULL,47,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,66.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,JOSE SOARES DOS SANTOS NETO,-1,15603,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,12/09/63,000000000NULL,33,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,65.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,MARIA JOSE DE OLIVEIRA COSTA,-1,15604,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,20/10/55,000000000NULL,41,4,FEMININO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,19.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:03:35,1996,1,ELEICOES 1996,AC,1007,BUJARI,11,VEREADOR,MANOEL NOGUEIRA GOMES,-1,15605,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,25/04/59,000000000NULL,37,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1200138,-1.0,1.0,-1.0,NULO,97.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
