DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,NM_TIPO_ELEICAO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,NR_CANDIDATO,NR_CPF_CANDIDATO,NM_URNA_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,CODIGO_LEGENDA,SIGLA_LEGENDA,COMPOSICAO_LEGENDA,NOME_LEGENDA,CODIGO_OCUPACAO,DS_OCUPACAO,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,COD_GRAU_INSTRUCAO,DESCRICAO_GRAU_INSTRUCAO,CODIGO_ESTADO_CIVIL,DESCRICAO_ESTADO_CIVIL,CODIGO_NACIONALIDADE,DESCRICAO_NACIONALIDADE,SIGLA_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,NM_MUNICIPIO_NASCIMENTO,DESPESA_MAX_CAMPANHA,COD_SIT_TOT_TURNO,DESC_SIT_TOT_TURNO,CODIGO_IBGE_MUN,CODIGO_IBGE_MUN_NASC,NUMERO_ZONA,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,TOTAL_VOTOS
24/11/2016,16:06:13,1996,1,ELEICOES 1996,AL,27855,MACEIO,9,PREFEITO,ANTONIO HOLANDA COSTA,-1,11,,,-1,,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,DMDCOP,PT DO B/PPB,DE MAOS DADAS COM O POVO,-1,,10/01/48,000000000NULL,48,2.0,MASCULINO,-1,,-1,,-1,,,,,-1,4.0,NAO ELEITO,2704302,,1,-1,#NE#,1309
24/11/2016,16:06:13,1996,1,ELEICOES 1996,AL,27855,MACEIO,9,PREFEITO,HELOISA HELENA LIMA DE MORAES CARVALHO,-1,13,,,-1,,13,PT,PARTIDO DOS TRABALHADORES,-1,PT PSTU,PT/PSTU,PT PSTU,-1,,06/06/62,000000000NULL,34,4.0,FEMININO,-1,,-1,,-1,,,,,-1,6.0,2.O TURNO,2704302,,1,-1,#NE#,26196
24/11/2016,16:06:13,1996,1,ELEICOES 1996,AL,27855,MACEIO,9,PREFEITO,ALBERICO CORDEIRO DA SILVA,-1,14,,,-1,,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,TPM,PSDB/PRONA/PTB/PMDB/PSL,TRABALHANDO POR MACEIO,-1,,28/09/41,000000000NULL,55,2.0,MASCULINO,-1,,-1,,-1,,,,,-1,4.0,NAO ELEITO,2704302,,1,-1,#NE#,15911
24/11/2016,16:06:13,1996,1,ELEICOES 1996,AL,27855,MACEIO,9,PREFEITO,DENILMA VILAR DE BULHOES BARROS,-1,25,,,-1,,25,PFL,PARTIDO DA FRENTE LIBERAL,-1,,,,-1,,22/06/46,000000000NULL,50,4.0,FEMININO,-1,,-1,,-1,,,,,-1,4.0,NAO ELEITO,2704302,,1,-1,#NE#,4638
24/11/2016,16:06:13,1996,1,ELEICOES 1996,AL,27855,MACEIO,9,PREFEITO,PEDRO VIEIRA DA SILVA,-1,33,,,-1,,33,PMN,PARTIDO DA MOBILIZACAO NACIONAL,-1,MSN,PDT/PSC/PL/PRTB/PMN,MACEIO SOMOS NOS,-1,,20/02/55,000000000NULL,41,2.0,MASCULINO,-1,,-1,,-1,,,,,-1,4.0,NAO ELEITO,2704302,,1,-1,#NE#,7930
24/11/2016,16:06:13,1996,1,ELEICOES 1996,AL,27855,MACEIO,9,PREFEITO,KATIA BORN RIBEIRO,-1,40,,,-1,,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,MNPP,PC DO B/PST/PPS/PSB,MACEIO NAO PODE PARAR,-1,,01/01/53,000000000NULL,43,4.0,FEMININO,-1,,-1,,-1,,,,,-1,6.0,2.O TURNO,2704302,,1,-1,#NE#,25155
24/11/2016,16:06:13,1996,1,ELEICOES 1996,AL,27855,MACEIO,9,PREFEITO,ARMANDO LOBO PEREIRA GOMES,-1,41,,,-1,,41,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,RM,PRN/PSD,RECONSTRUINDO MACEIO,-1,,01/12/57,000000000NULL,39,2.0,MASCULINO,-1,,-1,,-1,,,,,-1,4.0,NAO ELEITO,2704302,,1,-1,#NE#,821
24/11/2016,16:06:13,1996,1,ELEICOES 1996,AL,27855,MACEIO,9,PREFEITO,JOSE DJALMA BATISTA DE ALMEIDA,-1,44,,,-1,,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA,-1,NT,PV/PRP,NOVO TEMPO,-1,,05/07/38,000000000NULL,58,2.0,MASCULINO,-1,,-1,,-1,,,,,-1,4.0,NAO ELEITO,2704302,,1,-1,#NE#,1132
24/11/2016,16:06:13,1996,1,ELEICOES 1996,AL,27855,MACEIO,10,VICE PREFEITO,JOAQUIM ANTONIO DE CARVALHO BRITO,-1,130,,,-1,,13,PT,PARTIDO DOS TRABALHADORES,-1,PT PSTU,,PT PSTU,-1,,04/03/55,000000000NULL,41,2.0,MASCULINO,-1,,-1,,-1,,,,,-1,,,2704302,,1,-1,#NE#,40
24/11/2016,16:06:13,1996,1,ELEICOES 1996,AL,27855,MACEIO,10,VICE PREFEITO,DALTON BRAGA DORIA,-1,140,,,-1,,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,TPM,,TRABALHANDO POR MACEIO,-1,,28/07/44,000000000NULL,52,2.0,MASCULINO,-1,,-1,,-1,,,,,-1,,,2704302,,1,-1,#NE#,170
