DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,NM_TIPO_ELEICAO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,CD_LEGENDA,SG_LEGENDA,DS_COMPOSICAO_LEGENDA,NM_LEGENDA,CD_OCUPACAO,DS_OCUPACAO,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,NM_MUNICIPIO_NASCIMENTO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,CODIGO_IBGE_MUN,CD_IBGE_MUN_NASC,NR_ZONA,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,QT_VOTOS_NOMINAIS,CD_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/11/2016,16:06:43,1996,1,ELEICOES 1996,AP,6050,MACAPA,9,PREFEITO,ANTONIO WALDEZ GOES DA SILVA,-1,12,NULO,-1,NULO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,CMPV,PDT/PT/PC DO B,COLIGACAO MACAPA PRA VALER,-1,NULO,29/10/61,000000000NULL,35,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,1600303,-1.0,2.0,-1.0,NULO,24132.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:06:43,1996,1,ELEICOES 1996,AP,6050,MACAPA,9,PREFEITO,JONAS PINHEIRO BORGES,-1,14,NULO,-1,NULO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,18/02/45,000000000NULL,51,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,1600303,-1.0,2.0,-1.0,NULO,6888.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:06:43,1996,1,ELEICOES 1996,AP,6050,MACAPA,9,PREFEITO,TELMA DE SOUSA GAMELEIRA,-1,20,NULO,-1,NULO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,CMM,PSC/PPS/PSB/PV/PRP/PT DO B,COLIGACAO MUDA MACAPA,-1,NULO,22/07/55,000000000NULL,41,4,FEMININO,NULO,-1.0,NULO,4.0,NAO ELEITO,1600303,-1.0,2.0,-1.0,NULO,5336.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:06:43,1996,1,ELEICOES 1996,AP,6050,MACAPA,9,PREFEITO,ANNIBAL BARCELLOS,-1,25,NULO,-1,NULO,25,PFL,PARTIDO DA FRENTE LIBERAL,-1,NULO,NULO,NULO,-1,NULO,10/10/18,000000000NULL,78,2,MASCULINO,NULO,-1.0,NULO,1.0,ELEITO,1600303,-1.0,2.0,-1.0,NULO,39991.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:06:43,1996,1,ELEICOES 1996,AP,6050,MACAPA,9,PREFEITO,FATIMA LUCIA PELAES,-1,45,NULO,-1,NULO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,CMF,PMDB/PL/PSD/PSDB,COLIGACAO MACAPA DO FUTURO,-1,NULO,13/02/59,000000000NULL,37,4,FEMININO,NULO,-1.0,NULO,4.0,NAO ELEITO,1600303,-1.0,2.0,-1.0,NULO,8756.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:06:43,1996,1,ELEICOES 1996,AP,6050,MACAPA,10,VICE PREFEITO,MARIA DALVA DE SOUZA FIGUEIREDO,-1,121,NULO,-1,NULO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,CMPV,NULO,COLIGACAO MACAPA PRA VALER,-1,NULO,25/04/61,000000000NULL,35,4,FEMININO,NULO,-1.0,NULO,-1.0,NULO,1600303,-1.0,2.0,-1.0,NULO,402.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:06:43,1996,1,ELEICOES 1996,AP,6050,MACAPA,10,VICE PREFEITO,PAULO JOSE DA SILVA RAMOS,-1,141,NULO,-1,NULO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,11/10/55,000000000NULL,41,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1600303,-1.0,2.0,-1.0,NULO,170.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:06:43,1996,1,ELEICOES 1996,AP,6050,MACAPA,10,VICE PREFEITO,GERALDO DE JESUS CAPELA DE ARAUJO,-1,201,NULO,-1,NULO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,CMM,NULO,COLIGACAO MUDA MACAPA,-1,NULO,25/12/57,000000000NULL,39,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1600303,-1.0,2.0,-1.0,NULO,333.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:06:43,1996,1,ELEICOES 1996,AP,6050,MACAPA,10,VICE PREFEITO,AIRTON QUARESMA OLIVEIRA,-1,251,NULO,-1,NULO,25,PFL,PARTIDO DA FRENTE LIBERAL,-1,NULO,NULO,NULO,-1,NULO,15/12/45,000000000NULL,51,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1600303,-1.0,2.0,-1.0,NULO,157.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:06:43,1996,1,ELEICOES 1996,AP,6050,MACAPA,10,VICE PREFEITO,LUIZ IRACU GUIMARAES COLARES,-1,451,NULO,-1,NULO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,CMF,NULO,COLIGACAO MACAPA DO FUTURO,-1,NULO,07/06/51,000000000NULL,45,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1600303,-1.0,2.0,-1.0,NULO,198.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
