DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,NM_TIPO_ELEICAO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,CD_LEGENDA,SG_LEGENDA,DS_COMPOSICAO_LEGENDA,NM_LEGENDA,CD_OCUPACAO,DS_OCUPACAO,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,NM_MUNICIPIO_NASCIMENTO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,CODIGO_IBGE_MUN,CD_IBGE_MUN_NASC,NR_ZONA,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,QT_VOTOS_NOMINAIS,CD_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/11/2016,16:08:04,1996,1,ELEICOES 1996,CE,13897,FORTALEZA,9,PREFEITO,EDSON QUEIROZ FILHO,-1,11,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,CHM,PPB/PFL,COLIGA?AO HORA DE MUDAR,-1,NULO,06/10/51,000000000NULL,45,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2304400,-1.0,1,-1,NULO,8559,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:08:04,1996,1,ELEICOES 1996,CE,13897,FORTALEZA,9,PREFEITO,OSCAR COSTA FILHO,-1,12,NULO,-1,NULO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,NULO,NULO,NULO,-1,NULO,11/12/56,000000000NULL,40,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2304400,-1.0,1,-1,NULO,812,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:08:04,1996,1,ELEICOES 1996,CE,13897,FORTALEZA,9,PREFEITO,JURACI VIEIRA DE MAGALHAES,-1,15,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,PMDB-PL,PMDB/PL,PMDB-PL,-1,NULO,16/02/31,000000000NULL,65,4,FEMININO,NULO,-1.0,NULO,1.0,ELEITO,2304400,-1.0,1,-1,NULO,68774,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:08:04,1996,1,ELEICOES 1996,CE,13897,FORTALEZA,9,PREFEITO,GIL GUERRA PEREIRA,-1,17,NULO,-1,NULO,17,PSL,PARTIDO SOCIAL LIBERAL,-1,NULO,NULO,NULO,-1,NULO,07/09/63,000000000NULL,33,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2304400,-1.0,1,-1,NULO,114,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:08:04,1996,1,ELEICOES 1996,CE,13897,FORTALEZA,9,PREFEITO,JOSE LUCIANO MONTEIRO,-1,20,NULO,-1,NULO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,NULO,NULO,NULO,-1,NULO,24/10/46,000000000NULL,50,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2304400,-1.0,1,-1,NULO,301,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:08:04,1996,1,ELEICOES 1996,CE,13897,FORTALEZA,9,PREFEITO,FRANCISCO TARCISO LEITE,-1,31,NULO,-1,NULO,31,PSN,PARTIDO SOLIDARISTA NACIONAL,-1,CFSC,PAN/PSDC/PSN,COLIGA?AO FORTALEZA SOLIDARIA E CRISTA,-1,NULO,04/01/38,000000000NULL,58,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2304400,-1.0,1,-1,NULO,214,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:08:04,1996,1,ELEICOES 1996,CE,13897,FORTALEZA,9,PREFEITO,JOAO FRANCISCO SARAIVA MENEZES,-1,43,NULO,-1,NULO,43,PV,PARTIDO VERDE,-1,NULO,NULO,NULO,-1,NULO,04/05/56,000000000NULL,40,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2304400,-1.0,1,-1,NULO,461,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:08:04,1996,1,ELEICOES 1996,CE,13897,FORTALEZA,9,PREFEITO,MARIA DO PERPETUO SOCORRO FRANCA PINTO,-1,45,NULO,-1,NULO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,CFCA,PTB/PPS/PSD/PSDB,COLIGA?AO FORTALEZA DE CORPO E ALMA,-1,NULO,22/11/44,000000000NULL,52,4,FEMININO,NULO,-1.0,NULO,4.0,NAO ELEITO,2304400,-1.0,1,-1,NULO,16523,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:08:04,1996,1,ELEICOES 1996,CE,13897,FORTALEZA,9,PREFEITO,INACIO FRANCISCO DE ASSIS NUNES ARRUDA,-1,65,NULO,-1,NULO,65,PC DO B,PARTIDO COMUNISTA DO BRASIL,-1,CFF,PT/PSTU/PCB/PC DO B,COLIGA?AO FORTALEZA NA FRENTE,-1,NULO,05/05/57,000000000NULL,39,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2304400,-1.0,1,-1,NULO,25282,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:08:04,1996,1,ELEICOES 1996,CE,13897,FORTALEZA,9,PREFEITO,JOAO SOUZA DE OLIVEIRA,-1,70,NULO,-1,NULO,70,PT DO B,PARTIDO TRABALHISTA DO BRASIL,-1,NULO,NULO,NULO,-1,NULO,24/11/60,000000000NULL,36,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2304400,-1.0,1,-1,NULO,885,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
