DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,NM_TIPO_ELEICAO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,CD_LEGENDA,SG_LEGENDA,DS_COMPOSICAO_LEGENDA,NM_LEGENDA,CD_OCUPACAO,DS_OCUPACAO,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,NM_MUNICIPIO_NASCIMENTO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,CODIGO_IBGE_MUN,CD_IBGE_MUN_NASC,NR_ZONA,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,QT_VOTOS_NOMINAIS,CD_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/11/2016,16:13:44,1996,1,ELEICOES 1996,PA,4278,BELEM,9,PREFEITO,CIPRIANO SABINO DE OLIVEIRA JUNIOR,-1,11,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,25/02/64,000000000NULL,32,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,1501402,-1.0,1,-1,NULO,17275,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:13:44,1996,1,ELEICOES 1996,PA,4278,BELEM,9,PREFEITO,RAMIRO JAYME BENTES,-1,12,NULO,-1,NULO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,CMPB,PDT/PTB/PFL/PMN/PSDB,COLIGACAO MELHOR PRA BELEM,-1,NULO,11/09/37,000000000NULL,59,2,MASCULINO,NULO,-1.0,NULO,6.0,2.O TURNO,1501402,-1.0,1,-1,NULO,25878,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:13:44,1996,1,ELEICOES 1996,PA,4278,BELEM,9,PREFEITO,EDMILSON BRITO RODRIGUES,-1,13,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FBP,PT/PSTU/PCB/PPS/PC DO B,FRENTE BELEM POPULAR,-1,NULO,26/05/57,000000000NULL,39,2,MASCULINO,NULO,-1.0,NULO,6.0,2.O TURNO,1501402,-1.0,1,-1,NULO,55954,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:13:44,1996,1,ELEICOES 1996,PA,4278,BELEM,9,PREFEITO,ELCIONE THEREZINHA ZAHLUTH BARBALHO,-1,15,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,05/10/44,000000000NULL,52,4,FEMININO,NULO,-1.0,NULO,4.0,NAO ELEITO,1501402,-1.0,1,-1,NULO,21205,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:13:44,1996,1,ELEICOES 1996,PA,4278,BELEM,9,PREFEITO,LUIZ AFONSO DE PROENCA SEFER,-1,22,NULO,-1,NULO,22,PL,PARTIDO LIBERAL,-1,NULO,NULO,NULO,-1,NULO,28/09/55,000000000NULL,41,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,1501402,-1.0,1,-1,NULO,1527,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:13:44,1996,1,ELEICOES 1996,PA,4278,BELEM,9,PREFEITO,JOSE FERNANDO DO NASCIMENTO MORAES,-1,36,NULO,-1,NULO,36,PRN,PARTIDO DA RECONSTRUCAO NACIONAL,-1,NULO,NULO,NULO,-1,NULO,13/07/50,000000000NULL,46,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,1501402,-1.0,1,-1,NULO,407,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:13:44,1996,1,ELEICOES 1996,PA,4278,BELEM,9,PREFEITO,DUCIOMAR GOMES DA COSTA,-1,41,NULO,-1,NULO,41,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,CPI,PSC/PSD,COLIGACAO POPULAR INDEPENDENTE,-1,NULO,17/08/55,000000000NULL,41,-1,NULO,NULO,-1.0,NULO,4.0,NAO ELEITO,1501402,-1.0,1,-1,NULO,747,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:13:44,1996,1,ELEICOES 1996,PA,4278,BELEM,9,PREFEITO,MANOEL AUGUSTO COSTA REZENDE,-1,44,NULO,-1,NULO,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA,-1,TR,PGT/PV/PRP/PT DO B,TEMPO DE RENOVAR,-1,NULO,02/11/49,000000000NULL,47,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,1501402,-1.0,1,-1,NULO,1970,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:13:44,1996,1,ELEICOES 1996,PA,4278,BELEM,10,VICE PREFEITO,AFONSO MARIA DE LIGORIO BARRAL MONTEIRO,-1,111,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,29/11/36,000000000NULL,60,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1501402,-1.0,1,-1,NULO,51,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:13:44,1996,1,ELEICOES 1996,PA,4278,BELEM,10,VICE PREFEITO,ANA JULIA DE VASCONCELOS CAREPA,-1,131,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,FBP,NULO,FRENTE BELEM POPULAR,-1,NULO,23/12/57,000000000NULL,39,4,FEMININO,NULO,-1.0,NULO,-1.0,NULO,1501402,-1.0,1,-1,NULO,62,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
