DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,NM_TIPO_ELEICAO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,CD_LEGENDA,SG_LEGENDA,DS_COMPOSICAO_LEGENDA,NM_LEGENDA,CD_OCUPACAO,DS_OCUPACAO,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,NM_MUNICIPIO_NASCIMENTO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,CODIGO_IBGE_MUN,CD_IBGE_MUN_NASC,NR_ZONA,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,QT_VOTOS_NOMINAIS,CD_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/11/2016,16:14:05,1996,1,ELEICOES 1996,PB,20516,JOAO PESSOA,9,PREFEITO,ANTONIA LUCIA NAVARRO BRAGA,-1,12,NULO,-1,NULO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,CDP,PC DO B/PPB/PDT,COLIGA?AO DEMOCRATICA POPULAR,-1,NULO,13/12/34,000000000NULL,62,4,FEMININO,NULO,-1.0,NULO,6.0,2.O TURNO,2507507,-1.0,1,-1,NULO,12425,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:14:05,1996,1,ELEICOES 1996,PB,20516,JOAO PESSOA,9,PREFEITO,LUIZ ALBUQUERQUE COUTO,-1,13,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,CPVJ,PT/PPS/PV,COLIGACAO O POVO VIRA O JOGO,-1,NULO,13/02/45,000000000NULL,51,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2507507,-1.0,1,-1,NULO,10897,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:14:05,1996,1,ELEICOES 1996,PB,20516,JOAO PESSOA,9,PREFEITO,CICERO DE LUCENA FILHO,-1,15,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,CPAJP,PTB/PMDB/PSL/PL/PFL,COLIGACAO POR AMOR A JOAO PESSOA,-1,NULO,05/08/57,000000000NULL,39,2,MASCULINO,NULO,-1.0,NULO,6.0,2.O TURNO,2507507,-1.0,1,-1,NULO,22696,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:14:05,1996,1,ELEICOES 1996,PB,20516,JOAO PESSOA,9,PREFEITO,AFONSO FRANCISCO DE ABREU,-1,16,NULO,-1,NULO,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,-1,NULO,NULO,NULO,-1,NULO,04/04/53,000000000NULL,43,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2507507,-1.0,1,-1,NULO,128,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:14:05,1996,1,ELEICOES 1996,PB,20516,JOAO PESSOA,9,PREFEITO,JOAO NUNES DE CASTRO,-1,17,NULO,-1,NULO,17,PSL,PARTIDO SOCIAL LIBERAL,-1,CPAJP,PTB/PMDB/PSL/PL/PFL,COLIGACAO POR AMOR A JOAO PESSOA,-1,NULO,26/12/11,000000000NULL,85,2,MASCULINO,NULO,-1.0,NULO,8.0,REGISTRO NEGADO ANTES ELEICAO,2507507,-1.0,1,-1,NULO,29,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:14:05,1996,1,ELEICOES 1996,PB,20516,JOAO PESSOA,9,PREFEITO,MARIA DE LOURDES SARMENTO,-1,29,NULO,-1,NULO,29,PCO,PARTIDO DA CAUSA OPERARIA,-1,NULO,NULO,NULO,-1,NULO,04/01/59,000000000NULL,37,4,FEMININO,NULO,-1.0,NULO,4.0,NAO ELEITO,2507507,-1.0,1,-1,NULO,170,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:14:05,1996,1,ELEICOES 1996,PB,20516,JOAO PESSOA,9,PREFEITO,ALVARO CAVALCANTI DE ALMEIDA,-1,33,NULO,-1,NULO,33,PMN,PARTIDO DA MOBILIZACAO NACIONAL,-1,CFPO,PSC/PMN/PSD,COLIGACAO FRENTE POPULAR DAS OPOSI?OES,-1,NULO,14/03/49,000000000NULL,47,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2507507,-1.0,1,-1,NULO,6601,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:14:05,1996,1,ELEICOES 1996,PB,20516,JOAO PESSOA,9,PREFEITO,NADJA DIOGENES PALITOT Y PALITOT,-1,40,NULO,-1,NULO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,CMPMJP,PSDB/PSB,COLIGACAO MOVIMENTO POPULAR MUDA JOAO PESSOA,-1,NULO,18/12/57,000000000NULL,39,4,FEMININO,NULO,-1.0,NULO,4.0,NAO ELEITO,2507507,-1.0,1,-1,NULO,671,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:14:05,1996,1,ELEICOES 1996,PB,20516,JOAO PESSOA,9,PREFEITO,MARIO DA CRUZ BARBOSA,-1,44,NULO,-1,NULO,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA,-1,CFRP,PRP/PSDC/PRN,COLIGA?AO FRENTE DE RENOVA?AO POPULAR,-1,NULO,04/07/58,000000000NULL,38,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2507507,-1.0,1,-1,NULO,96,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:14:05,1996,1,ELEICOES 1996,PB,20516,JOAO PESSOA,10,VICE PREFEITO,TANIA MARIA DE OLIVEIRA BRITO,-1,161,NULO,-1,NULO,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,-1,NULO,NULO,NULO,-1,NULO,22/08/55,000000000NULL,41,4,FEMININO,NULO,-1.0,NULO,-1.0,NULO,2507507,-1.0,1,-1,NULO,7,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
