DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,NM_TIPO_ELEICAO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,CD_LEGENDA,SG_LEGENDA,DS_COMPOSICAO_LEGENDA,NM_LEGENDA,CD_OCUPACAO,DS_OCUPACAO,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,NM_MUNICIPIO_NASCIMENTO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,CODIGO_IBGE_MUN,CD_IBGE_MUN_NASC,NR_ZONA,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,QT_VOTOS_NOMINAIS,CD_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/11/2016,16:15:15,1996,1,ELEICOES 1996,RN,17612,NATAL,9,PREFEITO,LEONARDO ARRUDA CAMARA,-1,12,NULO,-1,NULO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,PDT/PSD/PRN,PDT/PRN/PSD,COLIGACAO VITORIA DO POVO,-1,NULO,25/07/47,000000000NULL,49,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2408102,-1.0,1,-1,NULO,3088,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:15:15,1996,1,ELEICOES 1996,RN,17612,NATAL,9,PREFEITO,MARIA DE FATIMA BEZERRA,-1,13,NULO,-1,NULO,13,PT,PARTIDO DOS TRABALHADORES,-1,PT/PC DO B/PPS,PT/PPS/PC DO B,FRENTE POPULAR DE NATAL,-1,NULO,19/05/55,000000000NULL,41,4,FEMININO,NULO,-1.0,NULO,6.0,2.O TURNO,2408102,-1.0,1,-1,NULO,19135,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:15:15,1996,1,ELEICOES 1996,RN,17612,NATAL,9,PREFEITO,DARIO BARBOSA DE MELO,-1,16,NULO,-1,NULO,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,-1,NULO,NULO,NULO,-1,NULO,28/05/53,000000000NULL,43,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2408102,-1.0,1,-1,NULO,583,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:15:15,1996,1,ELEICOES 1996,RN,17612,NATAL,9,PREFEITO,VILMA MARIA DE FARIA MEIRA,-1,40,NULO,-1,NULO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,VONTADE DO POVO,PTB/PCB/PFL/PSB/PV,FRENTE DEMOCRATICA PELA VONTADE DO POVO,-1,NULO,17/02/45,000000000NULL,51,4,FEMININO,NULO,-1.0,NULO,6.0,2.O TURNO,2408102,-1.0,1,-1,NULO,25805,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:15:15,1996,1,ELEICOES 1996,RN,17612,NATAL,9,PREFEITO,JOSE GERALDO DOS SANTOS FERNANDES,-1,44,NULO,-1,NULO,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA,-1,NULO,NULO,NULO,-1,NULO,21/04/74,000000000NULL,22,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2408102,-1.0,1,-1,NULO,4021,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:15:15,1996,1,ELEICOES 1996,RN,17612,NATAL,9,PREFEITO,JOAO FAUSTINO FERREIRA NETO,-1,45,NULO,-1,NULO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,PSDB/PPB,PPB/PSDB,UNIDADE POPULAR,-1,NULO,16/07/42,000000000NULL,54,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,2408102,-1.0,1,-1,NULO,19365,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:15:15,1996,1,ELEICOES 1996,RN,17612,NATAL,10,VICE PREFEITO,GERSONY GOMES DE OLIVEIRA,-1,121,NULO,-1,NULO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,PDT/PSD/PRN,NULO,COLIGACAO VITORIA DO POVO,-1,NULO,20/01/58,000000000NULL,38,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,2408102,-1.0,1,-1,NULO,1548,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:15:15,1996,1,ELEICOES 1996,RN,17612,NATAL,10,VICE PREFEITO,HUGO MEDEIROS DE GOES,-1,161,NULO,-1,NULO,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,-1,NULO,NULO,NULO,-1,NULO,24/03/68,000000000NULL,28,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,2408102,-1.0,1,-1,NULO,320,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:15:15,1996,1,ELEICOES 1996,RN,17612,NATAL,10,VICE PREFEITO,MARCILIO MONTE CARRILHO DE OLIVEIRA,-1,251,NULO,-1,NULO,25,PFL,PARTIDO DA FRENTE LIBERAL,-1,VONTADE DO POVO,NULO,FRENTE DEMOCRATICA PELA VONTADE DO POVO,-1,NULO,26/08/49,000000000NULL,47,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,2408102,-1.0,1,-1,NULO,727,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:15:15,1996,1,ELEICOES 1996,RN,17612,NATAL,10,VICE PREFEITO,GENILDO BENEDITO DA SILVA,-1,441,NULO,-1,NULO,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA,-1,NULO,NULO,NULO,-1,NULO,30/08/69,000000000NULL,27,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,2408102,-1.0,1,-1,NULO,19,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
