DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,NM_TIPO_ELEICAO,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,CD_LEGENDA,SG_LEGENDA,DS_COMPOSICAO_LEGENDA,NM_LEGENDA,CD_OCUPACAO,DS_OCUPACAO,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,NM_MUNICIPIO_NASCIMENTO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,CODIGO_IBGE_MUN,CD_IBGE_MUN_NASC,NR_ZONA,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,QT_VOTOS_NOMINAIS,CD_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/11/2016,16:41:16,1996,1,ELEICOES 1996,TO,73105,SAO FELIX DO TOCANTINS,9,PREFEITO,ISAMAR MORAES RIBEIRO,-1,11,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,JE,PPB/PTB/PFL,JALAPAO ESPERAN?A,-1,NULO,08/05/62,000000000NULL,34,4,FEMININO,NULO,-1.0,NULO,1.0,ELEITO,1720150,-1.0,29.0,-1.0,NULO,1003.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:41:16,1996,1,ELEICOES 1996,TO,73105,SAO FELIX DO TOCANTINS,9,PREFEITO,EMIVAL RIBEIRO DIAS,-1,15,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,25/09/50,000000000NULL,46,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,1720150,-1.0,29.0,-1.0,NULO,1169.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:41:16,1996,1,ELEICOES 1996,TO,73105,SAO FELIX DO TOCANTINS,9,PREFEITO,HAMILTON DA SILVA GARCEZ,-1,45,NULO,-1,NULO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,NULO,NULO,NULO,-1,NULO,30/12/46,000000000NULL,50,2,MASCULINO,NULO,-1.0,NULO,4.0,NAO ELEITO,1720150,-1.0,29.0,-1.0,NULO,45.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:41:16,1996,1,ELEICOES 1996,TO,73105,SAO FELIX DO TOCANTINS,10,VICE PREFEITO,JOSE MONTIZUMA DE SOUZA,-1,150,NULO,-1,NULO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,NULO,NULO,-1,NULO,12/06/45,000000000NULL,51,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1720150,-1.0,29.0,-1.0,NULO,110.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:41:16,1996,1,ELEICOES 1996,TO,73105,SAO FELIX DO TOCANTINS,10,VICE PREFEITO,CARLOS PATRICIO RIBEIRO,-1,250,NULO,-1,NULO,25,PFL,PARTIDO DA FRENTE LIBERAL,-1,JE,NULO,JALAPAO ESPERAN?A,-1,NULO,16/09/31,000000000NULL,65,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1720150,-1.0,29.0,-1.0,NULO,101.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:41:16,1996,1,ELEICOES 1996,TO,73105,SAO FELIX DO TOCANTINS,10,VICE PREFEITO,DOMINGOS RIBEIRO CUNHA,-1,450,NULO,-1,NULO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,NULO,NULO,NULO,-1,NULO,03/03/29,000000000NULL,67,2,MASCULINO,NULO,-1.0,NULO,-1.0,NULO,1720150,-1.0,29.0,-1.0,NULO,78.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:41:16,1996,1,ELEICOES 1996,TO,73105,SAO FELIX DO TOCANTINS,11,VEREADOR,MANOEL RIBEIRO DA SILVA,-1,11601,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,JE,PPB/PTB/PFL,JALAPAO ESPERAN?A,-1,NULO,17/05/59,000000000NULL,37,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1720150,-1.0,29.0,-1.0,NULO,133.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:41:16,1996,1,ELEICOES 1996,TO,73105,SAO FELIX DO TOCANTINS,11,VEREADOR,TANCIR PEREIRA PUGAS,-1,11602,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,JE,PPB/PTB/PFL,JALAPAO ESPERAN?A,-1,NULO,11/09/68,000000000NULL,28,-1,NULO,NULO,-1.0,NULO,1.0,ELEITO,1720150,-1.0,29.0,-1.0,NULO,17.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:41:16,1996,1,ELEICOES 1996,TO,73105,SAO FELIX DO TOCANTINS,11,VEREADOR,PEDRO RIBEIRO CARDOSO,-1,11603,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,JE,PPB/PTB/PFL,JALAPAO ESPERAN?A,-1,NULO,28/03/57,000000000NULL,39,2,MASCULINO,NULO,-1.0,NULO,1.0,ELEITO,1720150,-1.0,29.0,-1.0,NULO,92.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
24/11/2016,16:41:16,1996,1,ELEICOES 1996,TO,73105,SAO FELIX DO TOCANTINS,11,VEREADOR,JULIAO RODRIGUES DE SOUSA,-1,11604,NULO,-1,NULO,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,-1,JE,PPB/PTB/PFL,JALAPAO ESPERAN?A,-1,NULO,06/11/31,000000000NULL,65,2,MASCULINO,NULO,-1.0,NULO,2.0,SUPLENTE,1720150,-1.0,29.0,-1.0,NULO,55.0,2,MUNICIPAIS,-1,NULO,-1,NULO,-1,-1
